row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất (năm),Năm đáo hạn,31/12/2015 VND,1/1/2015 VND,numeric__Loại tiền,numeric__Lãi suất (năm),numeric__Năm đáo hạn,numeric__31/12/2015 VND,numeric__1/1/2015 VND
Trái phiếu doanh nghiệp dài hạn không chuyển đổi,Trái phiếu doanh nghiệp dài hạn không chuyển đổi,Trái phiếu doanh nghiệp dài hạn không chuyển đổi,Trái phiếu doanh nghiệp dài hạn không chuyển đổi,Trái phiếu doanh nghiệp dài hạn không chuyển đổi,Trái phiếu doanh nghiệp dài hạn không chuyển đổi,Trái phiếu doanh nghiệp dài hạn không chuyển đổi,Trái phiếu doanh nghiệp dài hạn không chuyển đổi,,,,,
Lô 1 (*),Trái phiếu doanh nghiệp dài hạn không chuyển đổi > Lô 1 (*),Lô 1 (*),VND,"9,65%",2017,500.000.000.000,500.000.000.000,,0.0965,2017.0,500000000000.0,500000000000.0
Lô 2 (**),Trái phiếu doanh nghiệp dài hạn không chuyển đổi > Lô 2 (**),Lô 2 (**),VND,"7,50%",2020,2.477.916.666.669,-,,0.075,2020.0,2477916666669.0,
Lô 3 (***),Trái phiếu doanh nghiệp dài hạn không chuyển đổi > Lô 3 (***),Lô 3 (***),VND,"7,50%",2020,991.000.000.002,-,,0.075,2020.0,991000000002.0,
,,,,,,3.968.916.666.671,500.000.000.000,,,,3968916666671.0,500000000000.0
