row_label_raw,row_label_full,col_0,VND,numeric__VND
Tiền,Tiền,Tiền,20.771.019,20771019.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,170.228.981,170228981.0
Tài sản cố định vô hình – nguyên giá (thuyết minh 15),Tài sản cố định vô hình – nguyên giá (thuyết minh 15),Tài sản cố định vô hình – nguyên giá (thuyết minh 15),9.903.492.870,9903492870.0
Tài sản cố định vô hình – giá trị hao mòn lũy kế (thuyết minh 15),Tài sản cố định vô hình – giá trị hao mòn lũy kế (thuyết minh 15),Tài sản cố định vô hình – giá trị hao mòn lũy kế (thuyết minh 15),(830.602.850),-830602850.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(191.000.000),-191000000.0
Giá trị ghi sổ tương ứng của tài sản thuần bị thanh lý,Giá trị ghi sổ tương ứng của tài sản thuần bị thanh lý,Giá trị ghi sổ tương ứng của tài sản thuần bị thanh lý,9.072.890.020,9072890020.0
Lãi ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất (thuyết minh 34),Lãi ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất (thuyết minh 34),Lãi ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất (thuyết minh 34),53.927.109.980,53927109980.0
Giá bán,Giá bán,Giá bán,63.000.000.000,63000000000.0
Phải thu từ thanh lý,Phải thu từ thanh lý,Phải thu từ thanh lý,(33.000.000.000),-33000000000.0
Tiền thu từ thanh lý,Tiền thu từ thanh lý,Tiền thu từ thanh lý,30.000.000.000,30000000000.0
Số dư tiền của công ty con bị thanh lý,Số dư tiền của công ty con bị thanh lý,Số dư tiền của công ty con bị thanh lý,(20.771.019),-20771019.0
Dòng tiền từ thanh lý công ty con - đã trừ đi số dư tiền của công ty con bị thanh lý,Dòng tiền từ thanh lý công ty con - đã trừ đi số dư tiền của công ty con bị thanh lý,Dòng tiền từ thanh lý công ty con - đã trừ đi số dư tiền của công ty con bị thanh lý,29.979.228.981,29979228981.0
