row_label_raw,row_label_full,col_0,1/1/2015VND(phân loại lại),1/1/2015VND(theo báo cáotrước đây),numeric__1/1/2015VND(phân loại lại),numeric__1/1/2015VND(theo báo cáotrước đây)
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,14.811.109.411,-,14811109411.0,
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,-,1.710.788.609.436,,1710788609436.0
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,1.695.977.500.025,-,1695977500025.0,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,5.228.239.770,,5228239770.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,79.083.886.602,73.855.646.832,79083886602.0,73855646832.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,7.000.000.000,,7000000000.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,7.000.000.000,-,7000000000.0,
Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,-,3.054.294.804,,3054294804.0
Dự phòng dài hạn,Dự phòng dài hạn,Dự phòng dài hạn,3.054.294.804,-,3054294804.0,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,47.138.548.094,24.382.564.541,47138548094.0,24382564541.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,22.755.983.553,,22755983553.0
Quỹ khác,Quỹ khác,Quỹ khác,-,79.806.684.935,,79806684935.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,843.274.384.403,763.467.699.468,843274384403.0,763467699468.0
