row_label_raw,row_label_full,100.000.000,-,numeric__-
-,-,-,(61.624.685.000),-61624685000.0
14.211.998.708.364,14.211.998.708.364,14.211.998.708.364,18.199.610.889.605,18199610889605.0
(14.255.869.883.785),(14.255.869.883.785),(14.255.869.883.785),(16.491.849.230.470),-16491849230470.0
(35.000.000.000),(35.000.000.000),(35.000.000.000),-,
-,(35.000.000.000) > -,-,(566.414.210.057),-566414210057.0
