row_label_raw,row_label_full,col_0,Quyền sử dụng đất không xác định thời hạn VND,Quyền sử dụng đất có xác định thời hạn VND,Phần mềm máy tính VND,Tổng VND,numeric__Quyền sử dụng đất không xác định thời hạn VND,numeric__Quyền sử dụng đất có xác định thời hạn VND,numeric__Phần mềm máy tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.050.904.660,123.627.822.571,2.750.919.830,144.429.647.061,18050904660.0,123627822571.0,2750919830.0,144429647061.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,770.015.000,770.015.000,,,770015000.0,770015000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,26.629.341.500,26.629.341.500,,,26629341500.0,26629341500.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.162.404.001),-,(1.162.404.001),,-1162404001.0,,-1162404001.0
Thanh lý công ty con (thuyết minh (7a)),Nguyên giá > Thanh lý công ty con (thuyết minh (7a)),Thanh lý công ty con (thuyết minh (7a)),-,(9.903.492.870),-,(9.903.492.870),,-9903492870.0,,-9903492870.0
Chênh lệch quy đổi tỷ giá,Nguyên giá > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,700.589.990,-,-,700.589.990,700589990.0,,,700589990.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.751.494.650,112.561.925.700,30.150.276.330,161.463.696.680,18751494650.0,112561925700.0,30150276330.0,161463696680.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,8.435.560.570,1.489.608.348,9.925.168.918,,8435560570.0,1489608348.0,9925168918.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,2.387.684.027,791.039.380,3.178.723.407,,2387684027.0,791039380.0,3178723407.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(99.511.168),-,(99.511.168),,-99511168.0,,-99511168.0
Thanh lý công ty con (thuyết minh (7a)),Giá trị hao mòn lũy kế > Thanh lý công ty con (thuyết minh (7a)),Thanh lý công ty con (thuyết minh (7a)),-,(830.602.850),-,(830.602.850),,-830602850.0,,-830602850.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,9.893.130.579,2.280.647.728,12.173.778.307,,9893130579.0,2280647728.0,12173778307.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.050.904.660,115.192.262.001,1.261.311.482,134.504.478.143,18050904660.0,115192262001.0,1261311482.0,134504478143.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.751.494.650,102.668.795.121,27.869.628.602,149.289.918.373,18751494650.0,102668795121.0,27869628602.0,149289918373.0
