row_label_raw,row_label_full,Báo cáo bộ phận,Báo cáo bộ phận_1,Báo cáo bộ phận_2,Báo cáo bộ phận_3,Báo cáo bộ phận_4,Báo cáo bộ phận_5,Báo cáo bộ phận_6,numeric__Báo cáo bộ phận_1,numeric__Báo cáo bộ phận_2,numeric__Báo cáo bộ phận_3,numeric__Báo cáo bộ phận_4,numeric__Báo cáo bộ phận_5,numeric__Báo cáo bộ phận_6
Bộ phận chia theo hoạt động kinh doanh,Bộ phận chia theo hoạt động kinh doanh,Bộ phận chia theo hoạt động kinh doanh,Bộ phận chia theo hoạt động kinh doanh,Bộ phận chia theo hoạt động kinh doanh,Bộ phận chia theo hoạt động kinh doanh,Bộ phận chia theo hoạt động kinh doanh,Bộ phận chia theo hoạt động kinh doanh,Bộ phận chia theo hoạt động kinh doanh,,,,,,
Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,Tập đoàn gồm các bộ phận chia theo hoạt động kinh doanh chính như sau:,,,,,,
▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,▪ Nuôi trồng sản phẩm thủy sản▪ Chế biến sản phẩm thủy sản▪ Kinh doanh sản phẩm thủy sản▪ Khác,,,,,,
Năm kết thúc ngày31 tháng 12 năm 2015,Năm kết thúc ngày31 tháng 12 năm 2015,Năm kết thúc ngày31 tháng 12 năm 2015,Nuôi trồng sản phẩm thủy sảnVND,Chế biến sản phẩm thủy sảnVND,Kinh doanh sản phẩm thủy sảnVND,KhácVND,Loại trừVND,Hợp nhấtVND,,,,,,
Doanh thu bán hàng ra bên ngoài,Năm kết thúc ngày31 tháng 12 năm 2015 > Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,148.796.000,6.569.636.735.651,5.668.382.008.718,48.456.869.586,-,12.286.624.409.955,148796000.0,6569636735651.0,5668382008718.0,48456869586.0,,12286624409955.0
Doanh thu giữa các bộ phận,Năm kết thúc ngày31 tháng 12 năm 2015 > Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,47.420.647.457,8.089.929.364.666,51.602.249.994,97.877.370.570,(8.286.829.632.687),-,47420647457.0,8089929364666.0,51602249994.0,97877370570.0,-8286829632687.0,
Tổng doanh thu của bộ phận,Năm kết thúc ngày31 tháng 12 năm 2015 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,47.569.443.457,14.659.566.100.317,5.719.984.258.712,146.334.240.156,(8.286.829.632.687),12.286.624.409.955,47569443457.0,14659566100317.0,5719984258712.0,146334240156.0,-8286829632687.0,12286624409955.0
Kết quả kinh doanh của bộ phận,Năm kết thúc ngày31 tháng 12 năm 2015 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(75.353.492.545),185.774.980.638,52.240.868.080,7.322.468.962,7.932.889.678,177.917.714.813,-75353492545.0,185774980638.0,52240868080.0,7322468962.0,7932889678.0,177917714813.0
Doanh thu hoạt động tài chính,Năm kết thúc ngày31 tháng 12 năm 2015 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,270.405.669.954,,,,,,270405669954.0
Chi phí tài chính,Năm kết thúc ngày31 tháng 12 năm 2015 > Chi phí tài chính,Chi phí tài chính,,,,,,(440.583.234.855),,,,,,-440583234855.0
Kết quả từ hoạt động kinh doanh,Năm kết thúc ngày31 tháng 12 năm 2015 > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,7.740.149.912,,,,,,7740149912.0
Thu nhập khác,Năm kết thúc ngày31 tháng 12 năm 2015 > Thu nhập khác,Thu nhập khác,,,,,,20.918.014.777,,,,,,20918014777.0
Chi phí khác,Năm kết thúc ngày31 tháng 12 năm 2015 > Chi phí khác,Chi phí khác,,,,,,(16.521.947.296),,,,,,-16521947296.0
Thuế thu nhập doanh nghiệp,Năm kết thúc ngày31 tháng 12 năm 2015 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,(19.082.104.758),,,,,,-19082104758.0
Lỗ thuần,Năm kết thúc ngày31 tháng 12 năm 2015 > Lỗ thuần,Lỗ thuần,,,,,,(6.945.887.365),,,,,,-6945887365.0
