row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,2.162.182.990.000,3.200.196.495.149,(175.543.000.000),24.671.734.409,1.969.503.401.826,7.181.011.621.384,2162182990000.0,3200196495149.0,-175543000000.0,24671734409.0,1969503401826.0,7181011621384.0
Phát hành cổ phiếu từ thẳng dư vốn cổ phần,Phát hành cổ phiếu từ thẳng dư vốn cổ phần,Phát hành cổ phiếu từ thẳng dư vốn cổ phần,1.081.091.480.000,(1.081.091.480.000),-,-,-,-,1081091480000.0,-1081091480000.0,,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,115.347.906.992,254.367.042.059,369.714.949.051,,,,115347906992.0,254367042059.0,369714949051.0
Cổ tức do các công ty con công bố,Cổ tức do các công ty con công bố,Cổ tức do các công ty con công bố,-,-,-,-,(27.530.627.600),(27.530.627.600),,,,,-27530627600.0,-27530627600.0
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,3.243.274.470.000,2.119.105.015.149,(175.543.000.000),140.019.641.401,2.196.339.816.285,7.523.195.942.835,3243274470000.0,2119105015149.0,-175543000000.0,140019641401.0,2196339816285.0,7523195942835.0
Phát hành cổ phiếu theo kế hoạch về quyền chọn mua cổ phần,Phát hành cổ phiếu theo kế hoạch về quyền chọn mua cổ phần,Phát hành cổ phiếu theo kế hoạch về quyền chọn mua cổ phần,23.874.000.000,(50.000.000),-,-,-,23.824.000.000,23874000000.0,-50000000.0,,,,23824000000.0
Vốn góp vào công ty con của cổ đông không kiểm soát,Vốn góp vào công ty con của cổ đông không kiểm soát,Vốn góp vào công ty con của cổ đông không kiểm soát,-,-,-,-,10.000.000,10.000.000,,,,,10000000.0,10000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,263.341.336.611,228.860.945.453,492.202.282.064,,,,263341336611.0,228860945453.0,492202282064.0
Cổ tức do các công ty con công bố,Cổ tức do các công ty con công bố,Cổ tức do các công ty con công bố,-,-,-,-,(27.530.627.600),(27.530.627.600),,,,,-27530627600.0,-27530627600.0
Hợp nhất kinh doanh (Thuyết minh 5),Hợp nhất kinh doanh (Thuyết minh 5),Hợp nhất kinh doanh (Thuyết minh 5),-,-,-,-,451.512.553.661,451.512.553.661,,,,,451512553661.0,451512553661.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,3.267.148.470.000,2.119.055.015.149,(175.543.000.000),403.360.978.012,2.849.192.687.799,8.463.214.150.960,3267148470000.0,2119055015149.0,-175543000000.0,403360978012.0,2849192687799.0,8463214150960.0
