row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Thương hiệu VND,Mối quan hệ khách hàng VND,Công nghệ VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Thương hiệu VND,numeric__Mối quan hệ khách hàng VND,numeric__Công nghệ VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,207.411.509.016,61.564.339.505,1.615.000.000.000,2.413.100.000.000,566.000.000.000,4.863.075.848.521,207411509016.0,61564339505.0,1615000000000.0,2413100000000.0,566000000000.0,4863075848521.0
Tăng do hợp nhất kinh doanh(Thuyết minh 5),Nguyên giá > Tăng do hợp nhất kinh doanh(Thuyết minh 5),Tăng do hợp nhất kinh doanh(Thuyết minh 5),-,-,199.782.021.840,122.877.276.845,-,322.659.298.685,,,199782021840.0,122877276845.0,,322659298685.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,12.487.500.000,282.881.250,-,-,-,12.770.381.250,12487500000.0,282881250.0,,,,12770381250.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,219.899.009.016,61.847.220.755,1.814.782.021.840,2.535.977.276.845,566.000.000.000,5.198.505.528.456,219899009016.0,61847220755.0,1814782021840.0,2535977276845.0,566000000000.0,5198505528456.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.276.376.950,22.349.750.704,400.775.000.009,606.936.250.000,541.650.000.010,1.599.987.377.673,28276376950.0,22349750704.0,400775000009.0,606936250000.0,541650000010.0,1599987377673.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.054.612.598,9.050.354.565,82.599.833.540,121.294.985.813,24.349.999.990,243.349.786.506,6054612598.0,9050354565.0,82599833540.0,121294985813.0,24349999990.0,243349786506.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,34.330.989.548,31.400.105.269,483.374.833.549,728.231.235.813,566.000.000.000,1.843.337.164.179,34330989548.0,31400105269.0,483374833549.0,728231235813.0,566000000000.0,1843337164179.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,179.135.132.066,39.214.588.801,1.214.224.999.991,1.806.163.750.000,24.349.999.990,3.263.088.470.848,179135132066.0,39214588801.0,1214224999991.0,1806163750000.0,24349999990.0,3263088470848.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,185.568.019.468,30.447.115.486,1.331.407.188.291,1.807.746.041.032,-,3.355.168.364.277,185568019468.0,30447115486.0,1331407188291.0,1807746041032.0,,3355168364277.0
