row_label_raw,row_label_full,col_0,1/1/2020VND,Tăng từ hợp nhất kinh doanh VND,Ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất VND,31/12/2020VND,numeric__1/1/2020VND,numeric__Tăng từ hợp nhất kinh doanh VND,numeric__Ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất VND,numeric__31/12/2020VND
Lãi chưa thực hiện từ các giao dịch nội bộ,Lãi chưa thực hiện từ các giao dịch nội bộ,Lãi chưa thực hiện từ các giao dịch nội bộ,2.765.147.122,-,(395.077.215),2.370.069.907,2765147122.0,,-395077215.0,2370069907.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,12.647.944.572,-,(1.859.799.287),10.788.145.285,12647944572.0,,-1859799287.0,10788145285.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,283.103.492,-,(114.867.975),168.235.517,283103492.0,,-114867975.0,168235517.0
Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,24.529.369.238,-,4.816.058.182,29.345.427.420,24529369238.0,,4816058182.0,29345427420.0
Lỗ tính thuế được mang sang,Lỗ tính thuế được mang sang,Lỗ tính thuế được mang sang,30.527.132.812,6.281.936.945,(15.528.769.662),21.280.300.095,30527132812.0,6281936945.0,-15528769662.0,21280300095.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,(476.314.542.644),(48.510.695.427),35.012.650.516,(489.812.587.555),-476314542644.0,-48510695427.0,35012650516.0,-489812587555.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,(11.789.669.873),(2.176.721.812),5.654.339.222,(8.312.052.463),-11789669873.0,-2176721812.0,5654339222.0,-8312052463.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,-,(1.523.436.069),126.953.006,(1.396.483.063),,-1523436069.0,126953006.0,-1396483063.0
Khác,Khác,Khác,1.312.512.810,-,(186.514.655),1.125.998.155,1312512810.0,,-186514655.0,1125998155.0
,,,(416.039.002.471),(45.928.916.363),27.524.972.132,(434.442.946.702),-416039002471.0,-45928916363.0,27524972132.0,-434442946702.0
