row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.188.673.996.467,1.945.851.589.013,89.822.342.421,58.848.040.172,5.283.195.968.073,3188673996467.0,1945851589013.0,89822342421.0,58848040172.0,5283195968073.0
Tăng do hợp nhất kinh doanh (Thuyết minh 5),Nguyên giá > Tăng do hợp nhất kinh doanh (Thuyết minh 5),Tăng do hợp nhất kinh doanh (Thuyết minh 5),15.397.326.967,49.129.991.022,19.926.905.639,-,84.454.223.628,15397326967.0,49129991022.0,19926905639.0,,84454223628.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,55.000.587.017,82.854.143.763,30.543.503.645,4.922.653.000,173.320.887.425,55000587017.0,82854143763.0,30543503645.0,4922653000.0,173320887425.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,618.049.390.769,479.201.247.091,5.790.952.617,14.502.017.988,1.117.543.608.465,618049390769.0,479201247091.0,5790952617.0,14502017988.0,1117543608465.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.317.028.800),(8.388.903.855),(9.634.877.033),(1.975.000.000),(25.315.809.688),-5317028800.0,-8388903855.0,-9634877033.0,-1975000000.0,-25315809688.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,-,(377.176.600),(377.176.600),,,,-377176600.0,-377176600.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,13.175.049.637,16.296.540.000,(13.175.049.637),(16.296.540.000),-,13175049637.0,16296540000.0,-13175049637.0,-16296540000.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.884.979.322.057,2.564.944.607.034,123.273.777.652,59.623.994.560,6.632.821.701.303,3884979322057.0,2564944607034.0,123273777652.0,59623994560.0,6632821701303.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,462.790.361.492,674.449.719.044,38.613.830.121,15.917.138.109,1.191.771.048.766,462790361492.0,674449719044.0,38613830121.0,15917138109.0,1191771048766.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,195.395.082.300,228.828.919.291,14.022.220.939,11.498.810.626,449.745.033.156,195395082300.0,228828919291.0,14022220939.0,11498810626.0,449745033156.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(3.752.168.725),(2.170.297.761),(9.387.077.805),(406.849.953),(15.716.394.244),-3752168725.0,-2170297761.0,-9387077805.0,-406849953.0,-15716394244.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,-,-,(377.176.600),(377.176.600),,,,-377176600.0,-377176600.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,2.200.993.104,4.004.680.569,(2.200.993.104),(4.004.680.569),-,2200993104.0,4004680569.0,-2200993104.0,-4004680569.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,656.634.268.171,905.113.021.143,41.047.980.151,22.627.241.613,1.625.422.511.078,656634268171.0,905113021143.0,41047980151.0,22627241613.0,1625422511078.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.725.883.634.975,1.271.401.869.969,51.208.512.300,42.930.902.063,4.091.424.919.307,2725883634975.0,1271401869969.0,51208512300.0,42930902063.0,4091424919307.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.228.345.053.886,1.659.831.585.891,82.225.797.501,36.996.752.947,5.007.399.190.225,3228345053886.0,1659831585891.0,82225797501.0,36996752947.0,5007399190225.0
