row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,572.806.861.031,-,572.806.861.031,572806861031.0,,572806861031.0
Phải thu của khách hàng ngắn hạn,Phải thu của khách hàng ngắn hạn,Phải thu của khách hàng ngắn hạn,50.928.099.166,-,50.928.099.166,50928099166.0,,50928099166.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,78.574.272.708,-,78.574.272.708,78574272708.0,,78574272708.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,93.091.862.791,10.156.240.460,103.248.103.251,93091862791.0,10156240460.0,103248103251.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,442.300.000,-,442.300.000,442300000.0,,442300000.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,69.197.407.384,15.256.816.244,84.454.223.628,69197407384.0,15256816244.0,84454223628.0
Tài sản cố định hữu hình thuê tài chính – thuần,Tài sản cố định hữu hình thuê tài chính – thuần,Tài sản cố định hữu hình thuê tài chính – thuần,22.761.303.606,-,22.761.303.606,22761303606.0,,22761303606.0
Tài sản cố định vô định – thuần,Tài sản cố định vô định – thuần,Tài sản cố định vô định – thuần,-,322.659.298.685,322.659.298.685,,322659298685.0,322659298685.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,38.200.969.560,-,38.200.969.560,38200969560.0,,38200969560.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,12.690.035.104,-,12.690.035.104,12690035104.0,,12690035104.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,6.281.936.945,-,6.281.936.945,6281936945.0,,6281936945.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(184.351.921.800),-,(184.351.921.800),-184351921800.0,,-184351921800.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,(70.203.918.995),-,(70.203.918.995),-70203918995.0,,-70203918995.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(25.368.527.367),-,(25.368.527.367),-25368527367.0,,-25368527367.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,(34.421.855.455),-,(34.421.855.455),-34421855455.0,,-34421855455.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,(5.036.135.615),-,(5.036.135.615),-5036135615.0,,-5036135615.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(52.210.853.308),(52.210.853.308),,-52210853308.0,-52210853308.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,625.592.689.063,295.861.502.081,921.454.191.144,625592689063.0,295861502081.0,921454191144.0
Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,,,469.941.637.483,,,469941637483.0
Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 19),Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 19),Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 19),,,144.832.662.517,,,144832662517.0
Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,,,614.774.300.000,,,614774300000.0
Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,,,572.806.861.031,,,572806861031.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,41.967.438.969,,,41967438969.0
