row_label_raw,row_label_full,Công ty Cổ phần Việt Nam Kỹ Nghệ Súc Sản (“Vissan”),Số lượng cổ phiếu > 20.180.026,"31/12/2020% lợi ích kinh tế/ quyền biểu quyết > 24,9%",Giá trị ghi sổ theo phương pháp vốn chủ sở hữu VND > 2.135.490.172.000,Số lượng cổ phiếu > 20.180.026_1,"1/1/2020% lợi ích kinh tế/ quyền biểu quyết > 24,9%",Giá trị ghi sổ theo phương pháp vốn chủ sở hữu VND > 2.135.490.172.000_1,numeric__Số lượng cổ phiếu > 20.180.026,"numeric__31/12/2020% lợi ích kinh tế/ quyền biểu quyết > 24,9%",numeric__Giá trị ghi sổ theo phương pháp vốn chủ sở hữu VND > 2.135.490.172.000,numeric__Số lượng cổ phiếu > 20.180.026_1,"numeric__1/1/2020% lợi ích kinh tế/ quyền biểu quyết > 24,9%",numeric__Giá trị ghi sổ theo phương pháp vốn chủ sở hữu VND > 2.135.490.172.000_1
Công ty Cổ phần Bao bì Thuận Phát (“Thuận Phát”),Công ty Cổ phần Bao bì Thuận Phát (“Thuận Phát”),Công ty Cổ phần Bao bì Thuận Phát (“Thuận Phát”),490.000,"25,0%",4.289.329.696,490.000,"25,0%",4.925.117.326,490000.0,0.25,4289329696.0,490000.0,0.25,4925117326.0
Công ty Cổ phần Abattoir Long Bình (“Abattoir”),Công ty Cổ phần Abattoir Long Bình (“Abattoir”),Công ty Cổ phần Abattoir Long Bình (“Abattoir”),900.000,"25,0%",6.769.461.403,500.000,"25,0%",6.708.889.701,900000.0,0.25,6769461403.0,500000.0,0.25,6708889701.0
Công ty Cổ phần Sản xuất Thương mại Dịch vụ Đồng Nai (“Donatraco”) (*),Công ty Cổ phần Sản xuất Thương mại Dịch vụ Đồng Nai (“Donatraco”) (*),Công ty Cổ phần Sản xuất Thương mại Dịch vụ Đồng Nai (“Donatraco”) (*),-,-,-,850.800,"21,3%",12.813.002.613,,,,850800.0,0.213,12813002613.0
,,,,,2.146.548.963.099,,,2.159.937.181.640,,,2146548963099.0,,,2159937181640.0
