row_label_raw,row_label_full,col_0,1/1/2020Giá trị ghi sổ/Số có khả năng trả nợ VND,Tăng do hợp nhất kinh doanh VND,Biến động trong năm > Tăng VND,Biến động trong năm > Hoàn trả VND,Biến động trong năm > Phân loại loại VND,31/12/2020Giá trị ghi sổ/Số có khả năng trả nợ VND,numeric__1/1/2020Giá trị ghi sổ/Số có khả năng trả nợ VND,numeric__Tăng do hợp nhất kinh doanh VND,numeric__Biến động trong năm > Tăng VND,numeric__Biến động trong năm > Hoàn trả VND,numeric__Biến động trong năm > Phân loại loại VND,numeric__31/12/2020Giá trị ghi sổ/Số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.334.291.823.097,58.451.771.063,9.163.800.150.628,(7.793.652.904.602),-,2.762.890.840.186,1334291823097.0,58451771063.0,9163800150628.0,-7793652904602.0,,2762890840186.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,448.466.355.342,-,514.427.078.794,(465.312.428.378),-,497.581.005.758,448466355342.0,,514427078794.0,-465312428378.0,,497581005758.0
Trái phiếu đáo hạn trong vòng 12 tháng,Trái phiếu đáo hạn trong vòng 12 tháng,Trái phiếu đáo hạn trong vòng 12 tháng,-,-,1.986.509.803.914,-,-,1.986.509.803.914,,,1986509803914.0,,,1986509803914.0
Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,-,11.752.147.932,-,(894.410.556),(5.145.186.510),5.712.550.866,,11752147932.0,,-894410556.0,-5145186510.0,5712550866.0
,,,1.782.758.178.439,70.203.918.995,11.664.737.033.336,(8.259.859.743.536),(5.145.186.510),5.252.694.200.724,1782758178439.0,70203918995.0,11664737033336.0,-8259859743536.0,-5145186510.0,5252694200724.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,,
,,,,,Loại tiền tệ,Lãi suất năm,31/12/2020 VND,1/1/2020 VND,,,,,,
Các khoản vay ngân hàng được đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Các khoản vay ngân hàng được đảm bảo,Các khoản vay ngân hàng được đảm bảo,,,VND,"6,3% - 6,8%",49.776.484.675,-,,,,,49776484675.0,
Các khoản vay ngân hàng không đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Các khoản vay ngân hàng không đảm bảo,Các khoản vay ngân hàng không đảm bảo,,,VND,"2,3% - 6,4%",2.313.114.355.511,1.334.291.823.097,,,,,2313114355511.0,1334291823097.0
"Khoản vay không đảm bảo từ Công ty TNHH Tầm nhìn Masan, một bên liên quan","Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay không đảm bảo từ Công ty TNHH Tầm nhìn Masan, một bên liên quan","Khoản vay không đảm bảo từ Công ty TNHH Tầm nhìn Masan, một bên liên quan",,,VND,"6,5%",400.000.000.000,-,,,,0.065,400000000000.0,
,,,,,,,2.762.890.840.186,1.334.291.823.097,,,,,2762890840186.0,1334291823097.0
