row_label_raw,row_label_full,col_0,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc_1,Giá trị hợp lý_1,Dự phòng_1,numeric__Giá gốc,numeric__Giá trị hợp lý,numeric__Dự phòng,numeric__Giá gốc_1,numeric__Giá trị hợp lý_1,numeric__Dự phòng_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,-,-,-,-,-,-,,,,,,
Dài hạn,Ngắn hạn > Dài hạn,Dài hạn,2.979.431.733.205,2.303.444.577.790,(675.987.155.415),2.868.398.499.205,2.181.885.083.795,(686.513.415.410),2979431733205.0,2303444577790.0,-675987155415.0,2868398499205.0,2181885083795.0,-686513415410.0
Đầu tư góp vốn vào đơn vị khác,Ngắn hạn > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,2.979.431.733.205,2.303.444.577.790,(675.987.155.415),2.868.398.499.205,2.181.885.083.795,(686.513.415.410),2979431733205.0,2303444577790.0,-675987155415.0,2868398499205.0,2181885083795.0,-686513415410.0
Đầu tư vào Công ty con:,Ngắn hạn > Đầu tư vào Công ty con:,Đầu tư vào Công ty con:,1.883.306.772.926,1.293.331.053.311,(589.975.719.615),1.883.306.772.926,1.384.412.157.799,(498.894.615.127),1883306772926.0,1293331053311.0,-589975719615.0,1883306772926.0,1384412157799.0,-498894615127.0
- Công ty Cổ phần Nhiệt điện Cẩm Phả - TKV,Ngắn hạn > - Công ty Cổ phần Nhiệt điện Cẩm Phả - TKV,- Công ty Cổ phần Nhiệt điện Cẩm Phả - TKV,1.757.179.069.334,1.167.203.349.719,(589.975.719.615),1.757.179.069.334,1.258.284.454.207,(498.894.615.127),1757179069334.0,1167203349719.0,-589975719615.0,1757179069334.0,1258284454207.0,-498894615127.0
- Công ty Cổ phần Than - Điện Nông Sơn - TKV,Ngắn hạn > - Công ty Cổ phần Than - Điện Nông Sơn - TKV,- Công ty Cổ phần Than - Điện Nông Sơn - TKV,126.127.703.592,126.127.703.592,-,126.127.703.592,126.127.703.592,-,126127703592.0,126127703592.0,,126127703592.0,126127703592.0,
Đầu tư vào đơn vi khác:,Ngắn hạn > Đầu tư vào đơn vi khác:,Đầu tư vào đơn vi khác:,1.096.124.960.279,1.010.113.524.479,(86.011.435.800),985.091.726.279,797.472.925.996,(187.618.800.283),1096124960279.0,1010113524479.0,-86011435800.0,985091726279.0,797472925996.0,-187618800283.0
- Công ty TNHH Điện lực Vĩnh Tân,Ngắn hạn > - Công ty TNHH Điện lực Vĩnh Tân,- Công ty TNHH Điện lực Vĩnh Tân,257.783.650.279,257.783.650.279,-,146.750.416.279,146.750.416.279,-,257783650279.0,257783650279.0,,146750416279.0,146750416279.0,
- Công ty Cổ phần Nhiệt điện Hải Phòng,Ngắn hạn > - Công ty Cổ phần Nhiệt điện Hải Phòng,- Công ty Cổ phần Nhiệt điện Hải Phòng,360.500.000.000,360.500.000.000,-,360.500.000.000,360.500.000.000,-,360500000000.0,360500000000.0,,360500000000.0,360500000000.0,
- Công ty Cổ phần Nhiệt điện Quảng Ninh,Ngắn hạn > - Công ty Cổ phần Nhiệt điện Quảng Ninh,- Công ty Cổ phần Nhiệt điện Quảng Ninh,477.841.310.000,391.829.874.200,(86.011.435.800),477.841.310.000,290.222.509.717,(187.618.800.283),477841310000.0,391829874200.0,-86011435800.0,477841310000.0,290222509717.0,-187618800283.0
Cộng,Ngắn hạn > Cộng,Cộng,2.979.431.733.205,2.303.444.577.790,(675.987.155.415),2.868.398.499.205,2.181.885.083.795,(686.513.415.410),2979431733205.0,2303444577790.0,-675987155415.0,2868398499205.0,2181885083795.0,-686513415410.0
