row_label_raw,row_label_full,TÀI SẢN NGĂN HẠN,Mã số,Thuyết minh,31/12/2017,01/01/2017,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017,numeric__01/01/2017
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,3.181.160.957.652,2.601.338.741.454,100.0,,3181160957652.0,2601338741454.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,,91.603.523.920,328.610.885.880,110.0,,91603523920.0,328610885880.0
Tiền,Tiền,Tiền,111,5.1,41.603.523.920,48.610.885.880,111.0,51.0,41603523920.0,48610885880.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,50.000.000.000,280.000.000.000,112.0,,50000000000.0,280000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,-,-,120.0,52.0,,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.997.169.594.629,2.163.923.534.877,130.0,,2997169594629.0,2163923534877.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.4,1.645.417.574.120,1.404.975.769.750,131.0,54.0,1645417574120.0,1404975769750.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,132,,84.368.938.471,15.395.485.398,132.0,,84368938471.0,15395485398.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,133,,4.885.428.343,-,133.0,,4885428343.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,5.3,833.805.219.988,511.993.604.334,135.0,53.0,833805219988.0,511993604334.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.5,433.753.763.707,236.620.005.395,136.0,55.0,433753763707.0,236620005395.0
Dự phòng các khoản phải thu ngắn hạn khó đòi (*),Dự phòng các khoản phải thu ngắn hạn khó đòi (*),Dự phòng các khoản phải thu ngắn hạn khó đòi (*),137,5.6,(5.061.330.000),(5.061.330.000),137.0,56.0,-5061330000.0,-5061330000.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.7,45.737.674.824,46.556.314.562,140.0,57.0,45737674824.0,46556314562.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,45.737.674.824,46.556.314.562,141.0,,45737674824.0,46556314562.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,46.650.164.279,62.248.006.135,150.0,,46650164279.0,62248006135.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.11,703.483.770,1.021.402.176,151.0,511.0,703483770.0,1021402176.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,44.986.739.677,52.899.495.056,152.0,,44986739677.0,52899495056.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,5.14,959.940.832,8.327.108.903,153.0,514.0,959940832.0,8327108903.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,,-,-,155.0,,,
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,17.627.529.111.366,19.935.569.034.695,200.0,,17627529111366.0,19935569034695.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.631.899.722.298,2.553.651.376.411,210.0,,1631899722298.0,2553651376411.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,5.3,1.630.934.169.920,2.552.685.824.033,215.0,53.0,1630934169920.0,2552685824033.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,5.5,965.552.378,965.552.378,216.0,55.0,965552378.0,965552378.0
Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),219,,-,-,219.0,,,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,12.946.449.912.111,14.277.344.079.438,220.0,,12946449912111.0,14277344079438.0
TSCĐ hữu hình,TSCĐ hữu hình,TSCĐ hữu hình,221,5.9,12.921.526.033.782,14.251.013.839.882,221.0,59.0,12921526033782.0,14251013839882.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,21.871.308.864.329,21.813.008.995.590,222.0,,21871308864329.0,21813008995590.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),223,,(8.949.782.830.547),(7.561.995.155.708),223.0,,-8949782830547.0,-7561995155708.0
TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,227,5.10,24.923.878.329,26.330.239.556,227.0,510.0,24923878329.0,26330239556.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,29.372.729.730,29.212.729.730,228.0,,29372729730.0,29212729730.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),229,,(4.448.851.401),(2.882.490.174),229.0,,-4448851401.0,-2882490174.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,5.8,81.813.493.312,116.903.755.552,240.0,58.0,81813493312.0,116903755552.0
