row_label_raw,row_label_full,col_0,col_1,01/01/2017(VND) > Giá trị,01/01/2017(VND) > Khả năngtrả nợ,31/12/2017(VND) > Giá trị,31/12/2017(VND) > Khả năngtrả nợ,numeric__col_1,numeric__01/01/2017(VND) > Giá trị,numeric__01/01/2017(VND) > Khả năngtrả nợ,numeric__31/12/2017(VND) > Giá trị,numeric__31/12/2017(VND) > Khả năngtrả nợ
c.,c.,c.,Phân loại gốc vay dài hạn đến hạn trả tại thời điểm lập BCTC,1.644.054.757.720,1.644.054.757.720,2.087.671.905.826,"6.429.927.640,00",,1644054757720.0,1644054757720.0,2087671905826.0,6429927640.0
c.,c.,c.,Vay ngân hàng,471.422.018.968,471.422.018.968,554.900.982.059,6.429.927.640,,471422018968.0,471422018968.0,554900982059.0,6429927640.0
c.,c.,c.,Vay Tập đoàn,1.172.632.738.752,1.172.632.738.752,1.532.770.923.767,1.532.770.923.767,,1172632738752.0,1172632738752.0,1532770923767.0,1532770923767.0
d.,d.,d.,Số dư tại thời điểm lập BCTC,14.063.992.935.297,14.063.992.935.297,11.672.071.040.984,11.672.071.040.984,,14063992935297.0,14063992935297.0,11672071040984.0,11672071040984.0
d.1,d.1,d.1,Vay và nợ ngắn hạn (d.1 = a + c),1.644.054.757.720,1.644.054.757.720,2.087.671.905.826,2.087.671.905.826,,1644054757720.0,1644054757720.0,2087671905826.0,2087671905826.0
d.2,d.2,d.2,Vay và nợ dài hạn (d.2 = b - c),12.419.938.177.577,12.419.938.177.577,9.584.399.135.158,9.584.399.135.158,,12419938177577.0,12419938177577.0,9584399135158.0,9584399135158.0
