row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2017,Giá trị ghi sổ > 01/01/2017,Giá trị hợp lý > 31/12/2017,Giá trị hợp lý > 01/01/2017,numeric__Giá trị ghi sổ > 31/12/2017,numeric__Giá trị ghi sổ > 01/01/2017,numeric__Giá trị hợp lý > 31/12/2017,numeric__Giá trị hợp lý > 01/01/2017
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,1.630.934.169.920,2.868.398.499.205,1.630.934.169.920,2.868.398.499.205,1630934169920.0,2868398499205.0,1630934169920.0,2868398499205.0
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,1.645.417.574.120,1.404.975.769.750,1.640.356.244.120,1.399.914.439.750,1645417574120.0,1404975769750.0,1640356244120.0,1399914439750.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,434.719.316.085,826.201.251.464,434.719.316.085,826.201.251.464,434719316085.0,826201251464.0,434719316085.0,826201251464.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,91.603.523.920,328.610.885.880,91.603.523.920,328.610.885.880,91603523920.0,328610885880.0,91603523920.0,328610885880.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,3.802.674.584.045,5.428.186.406.299,3.797.613.254.045,5.428.186.406.299,3802674584045.0,5428186406299.0,3797613254045.0,5428186406299.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,11.672.071.040.984,14.063.992.935.297,11.672.071.040.984,14.063.992.935.297,11672071040984.0,14063992935297.0,11672071040984.0,14063992935297.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,1.417.134.824.967,1.641.164.349.412,1.417.134.824.967,1.641.164.349.412,1417134824967.0,1641164349412.0,1417134824967.0,1641164349412.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,35.941.354.237,370.299.886.865,35.941.354.237,370.299.886.865,35941354237.0,370299886865.0,35941354237.0,370299886865.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,13.125.147.220.188,16.075.457.171.574,13.125.147.220.188,16.075.457.171.574,13125147220188.0,16075457171574.0,13125147220188.0,16075457171574.0
