row_label_raw,row_label_full,col_0,Năm 2017(VND),Từ 15/01/2016đến 31/12/2016(VND),numeric__Năm 2017(VND),numeric__Từ 15/01/2016đến 31/12/2016(VND)
Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,365.893.027.814,390.623.265.254,365893027814.0,390623265254.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,141.501.131.276,160.626.881.170,141501131276.0,160626881170.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,18.293.136.866,118.802.661,18293136866.0,118802661.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(10.526.259.995),686.513.415.410,-10526259995.0,686513415410.0
Cộng,Cộng,Cộng,515.161.035.961,1.237.882.364.495,515161035961.0,1237882364495.0
