row_label_raw,row_label_full,col_0,Than VND,Điện VND,Khác VND,Tổng cộng VND,numeric__Than VND,numeric__Điện VND,numeric__Khác VND,numeric__Tổng cộng VND
Từ 15/01/2016 đến 31/12/2016,Từ 15/01/2016 đến 31/12/2016,Từ 15/01/2016 đến 31/12/2016,Từ 15/01/2016 đến 31/12/2016,Từ 15/01/2016 đến 31/12/2016,Từ 15/01/2016 đến 31/12/2016,Từ 15/01/2016 đến 31/12/2016,,,,
Doanh thu,Từ 15/01/2016 đến 31/12/2016 > Doanh thu,Doanh thu,131.456.990.630,6.283.463.671.279,46.849.054.292,6.461.769.716.201,131456990630.0,6283463671279.0,46849054292.0,6461769716201.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,-,,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,65.062.203.753,5.330.443.019.829,44.331.438.933,5.439.836.662.515,65062203753.0,5330443019829.0,44331438933.0,5439836662515.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,66.394.786.877,953.020.651.450,2.517.615.359,1.021.933.053.686,66394786877.0,953020651450.0,2517615359.0,1021933053686.0
Từ 01/01/2017 đến 31/12/2017,Từ 01/01/2017 đến 31/12/2017,Từ 01/01/2017 đến 31/12/2017,Từ 01/01/2017 đến 31/12/2017,Từ 01/01/2017 đến 31/12/2017,Từ 01/01/2017 đến 31/12/2017,Từ 01/01/2017 đến 31/12/2017,,,,
Doanh thu,Từ 01/01/2017 đến 31/12/2017 > Doanh thu,Doanh thu,164.797.536.510,6.996.502.455.885,108.182.068.023,7.269.482.060.418,164797536510.0,6996502455885.0,108182068023.0,7269482060418.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,-,,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,84.300.519.901,5.789.038.509.753,105.192.568.766,5.978.531.598.420,84300519901.0,5789038509753.0,105192568766.0,5978531598420.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,80.497.016.609,1.207.463.946.132,2.989.499.257,1.290.950.461.998,80497016609.0,1207463946132.0,2989499257.0,1290950461998.0
