row_label_raw,row_label_full,col_0,01/01/2017(VND),Số phải nộptrong năm,Số đã thực nộptrong năm,31/12/2017(VND),numeric__01/01/2017(VND),numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__31/12/2017(VND)
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,13.026.909.732,279.733.006.495,269.330.072.777,23.429.843.450,13026909732.0,279733006495.0,269330072777.0,23429843450.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,287.174.417,1.276.155.232,1.408.739.628,154.590.021,287174417.0,1276155232.0,1408739628.0,154590021.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,999.296.996,62.686.500.622,56.336.540.400,7.349.257.218,999296996.0,62686500622.0,56336540400.0,7349257218.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",9.972.058.439,21.291.230.077,26.255.624.968,5.007.663.548,9972058439.0,21291230077.0,26255624968.0,5007663548.0
Cộng,Phải nộp > Cộng,Cộng,24.285.439.584,364.986.892.426,353.330.977.773,35.941.354.237,24285439584.0,364986892426.0,353330977773.0,35941354237.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.630.620.812,6.546.576.827,-,84.043.985,6630620812.0,6546576827.0,,84043985.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,413.904.592,-,-,413.904.592,413904592.0,,,413904592.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.137.356,7.137.356,-,-,7137356.0,7137356.0,,
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,1.275.446.143,1.275.446.143,461.992.255,461.992.255,1275446143.0,1275446143.0,461992255.0,461992255.0
Cộng,Phải thu > Cộng,Cộng,8.327.108.903,7.829.160.326,461.992.255,959.940.832,8327108903.0,7829160326.0,461992255.0,959940832.0
