row_label_raw,row_label_full,Tiền thuê đất từ 2012-2015 (Cao Ngạn),Năm 2017(VND) > -,Từ 15/01/2016đến 31/12/2016(VND) > 5.070.096.706,numeric__Năm 2017(VND) > -,numeric__Từ 15/01/2016đến 31/12/2016(VND) > 5.070.096.706
Chi phí thanh lý TSCĐ,Chi phí thanh lý TSCĐ,Chi phí thanh lý TSCĐ,-,620.376.038,,620376038.0
Chi phí khác,Chi phí khác,Chi phí khác,25.775.677,2.554.054.443,25775677.0,2554054443.0
Cộng,Cộng,Cộng,25.775.677,8.244.527.187,25775677.0,8244527187.0
