row_label_raw,row_label_full,col_0,31/12/2017(VND) > Giá trị,31/12/2017(VND) > Số có khả năng trả nợ,01/01/2017(VND) > Giá trị,01/01/2017(VND) > Số có khả năng trả nợ,numeric__31/12/2017(VND) > Giá trị,numeric__31/12/2017(VND) > Số có khả năng trả nợ,numeric__01/01/2017(VND) > Giá trị,numeric__01/01/2017(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,791.703.587.215,791.703.587.215,1.014.220.082.493,1.014.220.082.493,791703587215.0,791703587215.0,1014220082493.0,1014220082493.0
Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,-,-,57.051.357.089,57.051.357.089,,,57051357089.0,57051357089.0
Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,158.292.884.066,158.292.884.066,152.534.868.663,152.534.868.663,158292884066.0,158292884066.0,152534868663.0,152534868663.0
Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,-,-,84.759.333.730,84.759.333.730,,,84759333730.0,84759333730.0
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,474.029.213.190,474.029.213.190,524.772.038.806,524.772.038.806,474029213190.0,474029213190.0,524772038806.0,524772038806.0
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,10.301.532.012,10.301.532.012,10.467.633.422,10.467.633.422,10301532012.0,10301532012.0,10467633422.0,10467633422.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,149.079.957.947,149.079.957.947,184.634.850.783,184.634.850.783,149079957947.0,149079957947.0,184634850783.0,184634850783.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,625.431.237.752,625.431.237.752,626.944.266.919,626.944.266.919,625431237752.0,625431237752.0,626944266919.0,626944266919.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,391.033.382.523,391.033.382.523,391.979.361.677,391.979.361.677,391033382523.0,391033382523.0,391979361677.0,391979361677.0
Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,234.397.855.229,234.397.855.229,234.964.905.242,234.964.905.242,234397855229.0,234397855229.0,234964905242.0,234964905242.0
Cộng,Cộng,Cộng,1.417.134.824.967,1.417.134.824.967,1.641.164.349.412,1.641.164.349.412,1417134824967.0,1417134824967.0,1641164349412.0,1641164349412.0
