row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2017,Từ 15/01/2016đến 31/12/2016,numeric__Mã số,numeric__Năm 2017,numeric__Từ 15/01/2016đến 31/12/2016
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,685.712.803.455,(354.030.919.308),1.0,685712803455.0,-354030919308.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,1.389.068.873.090,1.332.636.852.259,2.0,1389068873090.0,1332636852259.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,(10.526.259.995),691.574.745.410,3.0,-10526259995.0,691574745410.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,(18.381.952.836),155.638.829.907,4.0,-18381952836.0,155638829907.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,(31.855.803.544),(14.345.268.696),5.0,-31855803544.0,-14345268696.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,365.893.027.814,390.623.265.254,6.0,365893027814.0,390623265254.0
Các khoản điều chỉnh khác,Điều chỉnh cho các khoản > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,-,7.0,,
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.379.910.687.984,2.202.097.504.826,8.0,2379910687984.0,2202097504826.0
