row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch đánh giá lại TS VND,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch đánh giá lại TS VND,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.436.967.325.797,-,570.597.908.525,1.069.727.013,(230.549.961.335),6.778.085.000.000,6436967325797.0,,570597908525.0,1069727013.0,-230549961335.0,6778085000000.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,21.915.000.000,-,-,-,-,21.915.000.000,21915000000.0,,,,,21915000000.0
Tăng khác,Tăng khác,Tăng khác,571.667.635.538,-,(570.597.908.525),(1.069.727.013),-,-,571667635538.0,,-570597908525.0,-1069727013.0,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,,,,,,
Lỗ trong năm trước,Lãi trong năm trước > Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,-,(354.030.919.308),(354.030.919.308),,,,,-354030919308.0,-354030919308.0
Giảm khác,Lãi trong năm trước > Giảm khác,Giảm khác,(230.549.961.335),(3.640.600.000),-,-,230.549.961.335,(3.640.600.000),-230549961335.0,-3640600000.0,,,230549961335.0,-3640600000.0
Số dư cuối năm trước/ đầu năm nay,Lãi trong năm trước > Số dư cuối năm trước/ đầu năm nay,Số dư cuối năm trước/ đầu năm nay,6.800.000.000.000,(3.640.600.000),-,-,(354.030.919.308),6.442.328.480.692,6800000000000.0,-3640600000.0,,,-354030919308.0,6442328480692.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,,,,,,
Tăng khác,Tăng vốn trong năm nay > Tăng khác,Tăng khác,-,3.640.600.000,-,-,-,3.640.600.000,,3640600000.0,,,,3640600000.0
Lãi trong năm nay,Tăng vốn trong năm nay > Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,671.712.803.455,671.712.803.455,,,,,671712803455.0,671712803455.0
Giảm vốn trong năm nay,Giảm vốn trong năm nay,Giảm vốn trong năm nay,-,-,-,-,-,-,,,,,,
Lỗ trong năm nay,Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,-,-,-,,,,,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,,,,,,
Số dư cuối năm,Giảm khác > Số dư cuối năm,Số dư cuối năm,6.800.000.000.000,-,-,-,317.681.884.147,7.117.681.884.147,6800000000000.0,,,,317681884147.0,7117681884147.0
