row_label_raw,row_label_full,col_0,Nguyên tệ,VND,numeric__Nguyên tệ,numeric__VND
Ngoại tệ (USD),Ngoại tệ (USD),Ngoại tệ (USD),"0,04 #",912,,912.0
Đồng Việt Nam,Đồng Việt Nam,Đồng Việt Nam,,41.504.359.864,,41504359864.0
Cộng,Cộng,Cộng,,41.504.360.776,,41504360776.0
