row_label_raw,row_label_full,col_0,31/12/2017(VND),01/01/2017(VND),numeric__31/12/2017(VND),numeric__01/01/2017(VND)
b. Xây dựng cơ bản dở dang,b. Xây dựng cơ bản dở dang,b. Xây dựng cơ bản dở dang,80.758.014.290,85.928.314.919,80758014290.0,85928314919.0
- Mua sắm,- Mua sắm,- Mua sắm,-,-,,
- Xây dựng cơ bản,- Mua sắm > - Xây dựng cơ bản,- Xây dựng cơ bản,79.143.669.108,85.928.314.919,79143669108.0,85928314919.0
Dự án Nhà máy Nhiệt điện Đồng Nai 5,- Mua sắm > Dự án Nhà máy Nhiệt điện Đồng Nai 5,Dự án Nhà máy Nhiệt điện Đồng Nai 5,17.025.905.500,20.734.461.167,17025905500.0,20734461167.0
Dự án Nhà máy Nhiệt điện Quỳnh Lập 1,- Mua sắm > Dự án Nhà máy Nhiệt điện Quỳnh Lập 1,Dự án Nhà máy Nhiệt điện Quỳnh Lập 1,-,17.819.613.177,,17819613177.0
Dự án Nhà máy Nhiệt điện Na Dương 2,- Mua sắm > Dự án Nhà máy Nhiệt điện Na Dương 2,Dự án Nhà máy Nhiệt điện Na Dương 2,19.084.687.109,9.019.902.990,19084687109.0,9019902990.0
Dự án ĐTXĐ nhà máy sản xuất Vật liệu không nung và bãi tập kết nguyên liệu tại Đồng Giếng To,- Mua sắm > Dự án ĐTXĐ nhà máy sản xuất Vật liệu không nung và bãi tập kết nguyên liệu tại Đồng Giếng To,Dự án ĐTXĐ nhà máy sản xuất Vật liệu không nung và bãi tập kết nguyên liệu tại Đồng Giếng To,2.946.467.500,2.922.993.200,2946467500.0,2922993200.0
Xây dựng bãi thải xì NMNĐ Na Dương,- Mua sắm > Xây dựng bãi thải xì NMNĐ Na Dương,Xây dựng bãi thải xì NMNĐ Na Dương,20.599.348.607,19.360.236.232,20599348607.0,19360236232.0
Khu CBCNV điều hành sản xuất (NMNĐ Sơn Đông),- Mua sắm > Khu CBCNV điều hành sản xuất (NMNĐ Sơn Đông),Khu CBCNV điều hành sản xuất (NMNĐ Sơn Đông),-,8.798.105.351,,8798105351.0
Đường công vụ từ Quốc lộ 18A đến NMNĐ Đông Triều,- Mua sắm > Đường công vụ từ Quốc lộ 18A đến NMNĐ Đông Triều,Đường công vụ từ Quốc lộ 18A đến NMNĐ Đông Triều,11.510.692.498,5.571.542.971,11510692498.0,5571542971.0
Dự án khác,- Mua sắm > Dự án khác,Dự án khác,7.976.567.894,1.701.459.831,7976567894.0,1701459831.0
- Sửa chữa,- Mua sắm > - Sửa chữa,- Sửa chữa,1.614.345.182,-,1614345182.0,
Chi phí sửa chữa lớn,- Mua sắm > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,1.614.345.182,-,1614345182.0,
Cộng,- Mua sắm > Cộng,Cộng,81.813.493.312,116.903.755.552,81813493312.0,116903755552.0
