row_label_raw,row_label_full,col_0,31/12/2017(VND) > Giá gốc,31/12/2017(VND) > Giá trị hợp lý,31/12/2017(VND) > Dự phòng,01/01/2017(VND) > Giá gốc,01/01/2017(VND) > Giá trị hợp lý,01/01/2017(VND) > Dự phòng,numeric__31/12/2017(VND) > Giá gốc,numeric__31/12/2017(VND) > Giá trị hợp lý,numeric__31/12/2017(VND) > Dự phòng,numeric__01/01/2017(VND) > Giá gốc,numeric__01/01/2017(VND) > Giá trị hợp lý,numeric__01/01/2017(VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,833.805.219.988,833.805.219.988,-,511.993.604.334,511.993.604.334,-,833805219988.0,833805219988.0,,511993604334.0,511993604334.0,
Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,598.423.794.381,598.423.794.381,-,508.346.258.498,508.346.258.498,-,598423794381.0,598423794381.0,,508346258498.0,508346258498.0,
+ Gốc vay,+ Gốc vay,+ Gốc vay,-,-,-,-,-,-,,,,,,
+ Cho vay dài hạn đến hạn trả,+ Gốc vay > + Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,598.423.794.381,598.423.794.381,-,508.346.258.498,508.346.258.498,-,598423794381.0,598423794381.0,,508346258498.0,508346258498.0,
Công ty CP Than - Điện Nông Sơn -TKV,+ Gốc vay > Công ty CP Than - Điện Nông Sơn -TKV,Công ty CP Than - Điện Nông Sơn -TKV,235.381.425.607,235.381.425.607,-,3.647.345.836,3.647.345.836,-,235381425607.0,235381425607.0,,3647345836.0,3647345836.0,
+ Gốc vay,+ Gốc vay,+ Gốc vay,-,-,-,-,-,-,,,,,,
+ Cho vay dài hạn đến hạn trả,+ Gốc vay > + Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,235.381.425.607,235.381.425.607,-,3.647.345.836,3.647.345.836,-,235381425607.0,235381425607.0,,3647345836.0,3647345836.0,
Dài hạn,+ Gốc vay > Dài hạn,Dài hạn,1.630.934.169.921,1.630.934.169.921,-,2.552.685.824.033,2.552.685.824.033,-,1630934169921.0,1630934169921.0,,2552685824033.0,2552685824033.0,
Công ty CP Nhiệt điện Cẩm Phả - TKV,+ Gốc vay > Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,1.622.934.545.737,1.622.934.545.737,-,2.292.254.857.539,2.292.254.857.539,-,1622934545737.0,1622934545737.0,,2292254857539.0,2292254857539.0,
Công ty CP Than - Điện Nông Sơn -TKV,+ Gốc vay > Công ty CP Than - Điện Nông Sơn -TKV,Công ty CP Than - Điện Nông Sơn -TKV,7.999.624.184,7.999.624.184,-,260.430.966.494,260.430.966.494,-,7999624184.0,7999624184.0,,260430966494.0,260430966494.0,
Cộng,+ Gốc vay > Cộng,Cộng,2.464.739.389.909,2.464.739.389.909,-,3.064.679.428.367,3.064.679.428.367,-,2464739389909.0,2464739389909.0,,3064679428367.0,3064679428367.0,
