row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi: > Từ 3 năm trở lên",31/12/2017(VND) > Giá gốc > 5.061.330.000,31/12/2017(VND) > Giá trị có thể thu hồi > -,01/01/2017(VND) > Giá gốc > 5.061.330.000,01/01/2017(VND) > Giá trị có thể thu hồi > -,numeric__31/12/2017(VND) > Giá gốc > 5.061.330.000,numeric__31/12/2017(VND) > Giá trị có thể thu hồi > -,numeric__01/01/2017(VND) > Giá gốc > 5.061.330.000,numeric__01/01/2017(VND) > Giá trị có thể thu hồi > -
Điện lực Thái Nguyên,Điện lực Thái Nguyên,Điện lực Thái Nguyên,13.621.000,-,13.621.000,-,13621000.0,,13621000.0,
Vụ Năng lượng - Bộ Công thương,Vụ Năng lượng - Bộ Công thương,Vụ Năng lượng - Bộ Công thương,42.110.000,-,42.110.000,-,42110000.0,,42110000.0,
Công ty CP xây dựng số 18,Công ty CP xây dựng số 18,Công ty CP xây dựng số 18,5.005.599.000,-,5.005.599.000,-,5005599000.0,,5005599000.0,
5.7 Hàng tồn kho,5.7 Hàng tồn kho,5.7 Hàng tồn kho,5.7 Hàng tồn kho,5.7 Hàng tồn kho,5.7 Hàng tồn kho,5.7 Hàng tồn kho,,,,
,,,31/12/2017(VND),31/12/2017(VND),01/01/2017(VND),01/01/2017(VND),,,,
,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,
"Nguyên liệu, vật liệu","5.7 Hàng tồn kho > Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",45.410.558.705,-,46.207.394.163,-,45410558705.0,,46207394163.0,
"Công cụ, dụng cụ","5.7 Hàng tồn kho > Công cụ, dụng cụ","Công cụ, dụng cụ",327.116.119,-,348.920.399,-,327116119.0,,348920399.0,
Cộng,5.7 Hàng tồn kho > Cộng,Cộng,45.737.674.824,-,46.556.314.562,-,45737674824.0,,46556314562.0,
5.8 Tài sản dở dang dài hạn,5.8 Tài sản dở dang dài hạn,5.8 Tài sản dở dang dài hạn,5.8 Tài sản dở dang dài hạn,5.8 Tài sản dở dang dài hạn,5.8 Tài sản dở dang dài hạn,5.8 Tài sản dở dang dài hạn,,,,
,,,31/12/2017(VND),31/12/2017(VND),01/01/2017(VND),01/01/2017(VND),,,,
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Chi phí sản xuất, kinh doanh dở dang dài hạn","5.8 Tài sản dở dang dài hạn > Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",1.055.479.022,-,30.975.440.633,-,1055479022.0,,30975440633.0,
"Chi phí sản xuất, kinh doanh dở dang dài hạn","5.8 Tài sản dở dang dài hạn > Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",1.055.479.022,-,30.975.440.633,-,1055479022.0,,30975440633.0,
