row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND",Phương tiệnvận tảiVND,"Thiết bị, dụng cụquản lýVND",TSCĐ hữuhình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND",numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữuhình khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.644.475.145.975,14.610.039.922.906,250.673.664.431,48.653.758.003,259.166.504.275,21.813.008.995.590,6644475145975.0,14610039922906.0,250673664431.0,48653758003.0,259166504275.0,21813008995590.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,1.119.995.455,657.142.857,304.485.455,-,2.081.623.767,,1119995455.0,657142857.0,304485455.0,,2081623767.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,55.410.782.818,1.116.699.421,-,53.254.545,-,56.580.736.784,55410782818.0,1116699421.0,,53254545.0,,56580736784.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,-,-,73.830.161,73.830.161,,,,,73830161.0,73830161.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(409.053.490),-,-,-,(409.053.490),,-409053490.0,,,,-409053490.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,-,(27.268.483),-,-,-,(27.268.483),,-27268483.0,,,,-27268483.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.699.885.928.793,14.611.840.295.809,251.330.807.288,49.011.498.003,259.240.334.436,21.871.717.917.819,6699885928793.0,14611840295809.0,251330807288.0,49011498003.0,259240334436.0,21871717917819.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu kỳ,GIÁ TRỊ HAO MÒN > Số dư đầu kỳ,Số dư đầu kỳ,1.144.514.412.283,6.092.218.267.122,153.114.411.858,38.826.121.231,133.321.943.214,7.561.995.155.708,1144514412283.0,6092218267122.0,153114411858.0,38826121231.0,133321943214.0,7561995155708.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,354.621.297.019,966.398.141.076,26.966.652.192,8.130.656.588,31.936.538.549,1.388.053.285.424,354621297019.0,966398141076.0,26966652192.0,8130656588.0,31936538549.0,1388053285424.0
