row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuy ế t minh,Năm 2017,Từ 15/01/2016 đến 31/12/2016,numeric__Mã số,numeric__Thuy ế t minh,numeric__Năm 2017,numeric__Từ 15/01/2016 đến 31/12/2016
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,7.269.482.060.418,6.461.769.716.201,1.0,61.0,7269482060418.0,6461769716201.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,10,6.2,7.269.482.060.418,6.461.769.716.201,10.0,62.0,7269482060418.0,6461769716201.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.3,5.978.531.598.420,5.439.836.662.515,11.0,63.0,5978531598420.0,5439836662515.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.290.950.461.998,1.021.933.053.686,20.0,,1290950461998.0,1021933053686.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.4,59.193.351.216,18.419.127.813,21.0,64.0,59193351216.0,18419127813.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.5,515.161.035.961,1.237.882.364.495,22.0,65.0,515161035961.0,1237882364495.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,365.893.027.814,390.623.265.254,23.0,,365893027814.0,390623265254.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,6.8,-,-,25.0,68.0,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.8,155.582.401.503,148.396.827.321,26.0,68.0,155582401503.0,148396827321.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,679.400.375.750,(345.927.010.317),30.0,,679400375750.0,-345927010317.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.6,6.338.203.382,140.618.196,31.0,66.0,6338203382.0,140618196.0
Chi phí khác,Chi phí khác,Chi phí khác,32,6.7,25.775.677,8.244.527.187,32.0,67.0,25775677.0,8244527187.0
Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),40,,6.312.427.705,(8.103.908.991),40.0,,6312427705.0,-8103908991.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,685.712.803.455,(354.030.919.308),50.0,,685712803455.0,-354030919308.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,,-,-,51.0,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),60,,685.712.803.455,(354.030.919.308),60.0,,685712803455.0,-354030919308.0
