row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,"Phương tiện vận tải, truyền dẫn VND",Thiết bị dụng cụ quản lý VND,TSCĐ HH khác VND,Cộng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,"numeric__Phương tiện vận tải, truyền dẫn VND",numeric__Thiết bị dụng cụ quản lý VND,numeric__TSCĐ HH khác VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,682.981.810.198,88.310.489.012,44.825.980.551,12.210.111.383,271.145.253.354,1.099.473.644.498,682981810198.0,88310489012.0,44825980551.0,12210111383.0,271145253354.0,1099473644498.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,-,-,220.653.637,-,220.653.637,,,,220653637.0,,220653637.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,682.981.810.198,88.310.489.012,44.825.980.551,12.430.765.020,271.145.253.354,1.099.694.298.135,682981810198.0,88310489012.0,44825980551.0,12430765020.0,271145253354.0,1099694298135.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,,
01/01/2024,HAO MÒN LỦY KẾ > 01/01/2024,01/01/2024,(140.371.744.745),(64.486.514.425),(28.391.801.925),(12.028.071.127),(108.810.508.647),(354.088.640.869),-140371744745.0,-64486514425.0,-28391801925.0,-12028071127.0,-108810508647.0,-354088640869.0
Khấu hao trong năm,HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,(16.869.166.584),(5.678.077.416),(886.029.228),(74.964.351),(10.606.756.452),(34.114.994.031),-16869166584.0,-5678077416.0,-886029228.0,-74964351.0,-10606756452.0,-34114994031.0
31/12/2024,HAO MÒN LỦY KẾ > 31/12/2024,31/12/2024,(157.240.911.329),(70.164.591.841),(29.277.831.153),(12.103.035.478),(119.417.265.099),(388.203.634.900),-157240911329.0,-70164591841.0,-29277831153.0,-12103035478.0,-119417265099.0,-388203634900.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,542.610.065.453,23.823.974.587,16.434.178.626,182.040.256,162.334.744.707,745.385.003.629,542610065453.0,23823974587.0,16434178626.0,182040256.0,162334744707.0,745385003629.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,525.740.898.869,18.145.897.171,15.548.149.398,327.729.542,151.727.988.255,711.490.663.235,525740898869.0,18145897171.0,15548149398.0,327729542.0,151727988255.0,711490663235.0
