row_label_raw,row_label_full,"TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_1","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_2","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_3",Mẫu số B09-DNBan hành theo thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo),"numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_1","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_2","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_3",numeric__Mẫu số B09-DNBan hành theo thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BÁO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,Lĩnh vực xây lắpVND,Lĩnh vực thủy điệnVND,KhácVND,Tổng cộngVND,,,,
Năm 2023,Năm 2023,Năm 2023,,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Năm 2023 > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,436.297.485.691,346.942.341.077,142.835.660.472,926.075.487.240,436297485691.0,346942341077.0,142835660472.0,926075487240.0
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm 2023 > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,436.297.485.691,346.942.341.077,142.835.660.472,926.075.487.240,436297485691.0,346942341077.0,142835660472.0,926075487240.0
Kết quả kinh doanh theo bộ phận,Năm 2023 > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,83.856.270.053,-,76.658.083.693,160.514.353.746,83856270053.0,,76658083693.0,160514353746.0
Các chi phí không phân bổ theo bộ phận,Năm 2023 > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,392.318.636,,,,392318636.0
Lợi nhuận từ hoạt động kinh doanh,Năm 2023 > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,160.906.672.382,,,,160906672382.0
Doanh thu hoạt động tài chính,Năm 2023 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,986.512.674.303,,,,986512674303.0
Chi phí tài chính,Năm 2023 > Chi phí tài chính,Chi phí tài chính,,,,(739.413.694.845),,,,-739413694845.0
Thu nhập khác,Năm 2023 > Thu nhập khác,Thu nhập khác,,,,1.291.736.894,,,,1291736894.0
Chi phí khác,Năm 2023 > Chi phí khác,Chi phí khác,,,,(18.200.000),,,,-18200000.0
Chi phí thuế TNDN hiện hành,Năm 2023 > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(12.532.422.167),,,,-12532422167.0
Chi phí thuế TNDN hoãn lại,Năm 2023 > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(424.018.888),,,,-424018888.0
Lợi nhuận sau thuế TNDN,Năm 2023 > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,396.322.747.679,,,,396322747679.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm 2023 > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,-,-,382.156.818,382.156.818,,,382156818.0,382156818.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Năm 2023 > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,2.173.414.950,-,31.926.801.000,34.100.215.950,2173414950.0,,31926801000.0,34100215950.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,Lĩnh vực xây lắpVND,Lĩnh vực thủy điệnVND,KhácVND,Tổng cộngVND,,,,
Số tại 31/12/2023,Số tại 31/12/2023,Số tại 31/12/2023,,,,,,,,
Tài sản trực tiếp của bộ phận,Số tại 31/12/2023 > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,1.553.800.709.130,94.457.674.509,737.332.927.421,2.385.591.311.060,1553800709130.0,94457674509.0,737332927421.0,2385591311060.0
Các tài sản không phân bổ theo bộ phận,Số tại 31/12/2023 > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,10.700.709.604.228,,,,10700709604228.0
Tổng tài sản,Số tại 31/12/2023 > Tổng tài sản,Tổng tài sản,,,,13.086.300.915.288,,,,13086300915288.0
Nợ phải trả trực tiếp của bộ phận,Số tại 31/12/2023 > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,6.275.105.585.063,761.078.737.141,214.099.455.695,7.250.283.777.899,6275105585063.0,761078737141.0,214099455695.0,7250283777899.0
Nợ phải trả không phân bổ theo bộ phận,Số tại 31/12/2023 > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,169.059.749.083,,,,169059749083.0
