row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty CP Sông Đà 3,Công ty CP Sông Đà 3,Công ty CP Sông Đà 3,Công ty con,
Công ty CP Sông Đà 4,Công ty CP Sông Đà 4,Công ty CP Sông Đà 4,Công ty con,
Công ty CP Sông Đà 5,Công ty CP Sông Đà 5,Công ty CP Sông Đà 5,Công ty con,
Công ty CP Sông Đà 6,Công ty CP Sông Đà 6,Công ty CP Sông Đà 6,Công ty con,
Công ty CP Sông Đà 9,Công ty CP Sông Đà 9,Công ty CP Sông Đà 9,Công ty con,
Công ty CP Sông Đà 10,Công ty CP Sông Đà 10,Công ty CP Sông Đà 10,Công ty con,
Công ty CP Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,Công ty CP Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,Công ty CP Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,Công ty con,
Công ty CP Đầu tư và Phát triển điện Sê San 3A,Công ty CP Đầu tư và Phát triển điện Sê San 3A,Công ty CP Đầu tư và Phát triển điện Sê San 3A,Công ty con,
Công ty CP Thủy điện Nậm Chiến,Công ty CP Thủy điện Nậm Chiến,Công ty CP Thủy điện Nậm Chiến,Công ty con,
Công ty CP Thủy điện Cần Đơn,Công ty CP Thủy điện Cần Đơn,Công ty CP Thủy điện Cần Đơn,Công ty con,
Công ty CP Tư vấn Sông Đà,Công ty CP Tư vấn Sông Đà,Công ty CP Tư vấn Sông Đà,Công ty con,
Công ty TNHH MTV Hạ tầng Sông Đà,Công ty TNHH MTV Hạ tầng Sông Đà,Công ty TNHH MTV Hạ tầng Sông Đà,Công ty con,
Công ty CP Sông Đà 2,Công ty CP Sông Đà 2,Công ty CP Sông Đà 2,Công ty liên kết,
Công ty CP Sông Đà 12,Công ty CP Sông Đà 12,Công ty CP Sông Đà 12,Công ty liên kết,
Công ty CP Cơ khí Lắp máy Sông Đà,Công ty CP Cơ khí Lắp máy Sông Đà,Công ty CP Cơ khí Lắp máy Sông Đà,Công ty liên kết,
Công ty CP Điện Việt Lào,Công ty CP Điện Việt Lào,Công ty CP Điện Việt Lào,Công ty liên kết,
Công ty CP BOT Quốc lộ 2,Công ty CP BOT Quốc lộ 2,Công ty CP BOT Quốc lộ 2,Công ty liên kết,
Công ty CP Phát triển Nhà Khánh Hòa,Công ty CP Phát triển Nhà Khánh Hòa,Công ty CP Phát triển Nhà Khánh Hòa,Công ty liên kết,
Công ty CP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Công ty CP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Công ty CP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Công ty liên kết,
Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty liên kết,
Công ty CP Cao su Phú Riềng Kratie,Công ty CP Cao su Phú Riềng Kratie,Công ty CP Cao su Phú Riềng Kratie,Công ty liên kết,
