row_label_raw,row_label_full,col_0,Giá trị số sách > Số cuối năm,Giá trị số sách > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị số sách > Số cuối năm,numeric__Giá trị số sách > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.411.278.258,29.482.879.719,7.411.278.258,29.482.879.719,7411278258.0,29482879719.0,7411278258.0,29482879719.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,14.000.000.000,11.130.000.000,14.000.000.000,11.130.000.000,14000000000.0,11130000000.0,14000000000.0,11130000000.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,3.513.015.978.086,5.071.731.428.383,3.513.015.978.086,5.071.731.428.383,3513015978086.0,5071731428383.0,3513015978086.0,5071731428383.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,91.009.573.257,17.000.000.000,91.009.573.257,17.000.000.000,91009573257.0,17000000000.0,91009573257.0,17000000000.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,112.797.602.976,71.107.767.853,112.797.602.976,71.107.767.853,112797602976.0,71107767853.0,112797602976.0,71107767853.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính > Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,162.775.373.155,14.983.824.894,162.775.373.155,14.983.824.894,162775373155.0,14983824894.0,162775373155.0,14983824894.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.901.009.805.732,5.215.435.900.849,3.901.009.805.732,5.215.435.900.849,3901009805732.0,5215435900849.0,3901009805732.0,5215435900849.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,32.700.000.000,1.904.172.869.189,32.700.000.000,1.904.172.869.189,32700000000.0,1904172869189.0,32700000000.0,1904172869189.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,4.527.398.385.111,4.296.122.224.316,4.527.398.385.111,4.296.122.224.316,4527398385111.0,4296122224316.0,4527398385111.0,4296122224316.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,15.575.354.918,5.267.928.278,15.575.354.918,5.267.928.278,15575354918.0,5267928278.0,15575354918.0,5267928278.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,4.575.673.740.029,6.205.563.021.783,4.575.673.740.029,6.205.563.021.783,4575673740029.0,6205563021783.0,4575673740029.0,6205563021783.0
