row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,12.840.447.414.071,17.288.066.682.842,,1.0,,12840447414071.0,17288066682842.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,VI.2,32.092.635,2.727.304,,2.0,,32092635.0,2727304.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,12.840.415.321.436,17.288.063.955.538,,10.0,,12840415321436.0,17288063955538.0
4.,4.,4.,Giá vốn hàng bán,11,VI.3,12.647.310.218.768,17.092.369.759.761,,11.0,,12647310218768.0,17092369759761.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,193.105.102.668,195.694.195.777,,20.0,,193105102668.0,195694195777.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.4,4.071.693.624,6.607.067.006,,21.0,,4071693624.0,6607067006.0
7.,7.,7.,Chi phí tài chính,22,VI.5,118.151.609.243,180.134.517.498,,22.0,,118151609243.0,180134517498.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,112.128.081.229,174.158.583.403,,23.0,,112128081229.0,174158583403.0
8.,8.,8.,Chi phí bán hàng,25,VI.6,1.478.988.717,1.274.944.944,,25.0,,1478988717.0,1274944944.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VI.7,14.255.536.258,7.512.319.491,,26.0,,14255536258.0,7512319491.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,63.290.662.074,13.379.480.850,,30.0,,63290662074.0,13379480850.0
11.,11.,11.,Thu nhập khác,31,VI.8,1.015.767.945,4.712.202.149,,31.0,,1015767945.0,4712202149.0
12.,12.,12.,Chi phí khác,32,VI.9,6.246.829.069,1.891.427.076,,32.0,,6246829069.0,1891427076.0
13.,13.,13.,Lợi nhuận khác,40,,(5.231.061.124),2.820.775.073,,40.0,,-5231061124.0,2820775073.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,58.059.600.950,16.200.255.923,,50.0,,58059600950.0,16200255923.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.10,12.114.977.813,3.240.051.184,,51.0,,12114977813.0,3240051184.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,45.944.623.137,12.960.204.739,,60.0,,45944623137.0,12960204739.0
