row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty liên kết,Cho vay hỗ trợ sản xuất kinh doanh,-,35.700.000.000,,,,35700000000.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty liên kết,Cho vay hỗ trợ sản xuất kinh doanh,-,1.755.480.742,,,,1755480742.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Phải thu về cho vay dài hạn > Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty liên kết,Cho vay hỗ trợ sản xuất kinh doanh,-,8.054.507.014,,,,8054507014.0
Công ty Cổ phần Gạch men Anh em DIC,Phải thu về cho vay dài hạn > Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Công ty con,Cho vay hỗ trợ sản xuất kinh doanh,-,10.000.000.000,,,,10000000000.0
,,,,,-,55.509.987.756,,,,55509987756.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty liên kết,Lãi vay phải thu,102.666.667,469.344.944,,,102666667.0,469344944.0
Công ty Cổ phần DIC Số 4,Phải thu ngắn hạn khác > Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Công ty liên kết,Lãi vay phải thu,430.146.119,740.222.223,,,430146119.0,740222223.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty liên kết,Chi hộ,153.555.286,309.795.286,,,153555286.0,309795286.0
Công ty Cổ phần Bất động sản DIC,Phải thu ngắn hạn khác > Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty liên kết,Cổ tức phải thu,21.689.000,240.750.000,,,21689000.0,240750000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Công ty Cổ phần Đầu tư và Thương mại DIC,Phải thu dài hạn khác > Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty liên kết,Hợp đồng hợp tác kinh doanh,3.000.000.000,3.000.000.000,,,3000000000.0,3000000000.0
,,,,,3.708.057.072,4.760.112.453,,,3708057072.0,4760112453.0
