row_label_raw,row_label_full,Ngân hàng > Ngân hàng Thương mạiCổ phần Phát triểnThành phố Hồ Chí Minh- Chi nhánh Vũng Tàu > Ngân hàng Thương mại Cổ phầnĐầu tư và Phát triển Việt Nam-Chi nhánh Bà Rịa - Vũng Tàu > Ngân hàng Thương mạiCổ phần Á Châu -Chi nhánh Hồ Chí Minh > Ngân hàng Thương mại Cổ phầnCông thương Việt Nam - Chinánh Bình Xuyên > Ngân hàng Thương mạiCổ phần Ngoại thương Việt Nam -Chi nhánh Quảng Nam,Số cuối năm VND > 158.999.405.034 > 163.775.204.200 > 3.399.575.990 > 2.608.147.070 > 1.200.000.000 > 190.784.268.844 > 58.365.039.422 > 1.602.000.000,Kỳ hạn trả gốc và lãi > Từ ngày 22 tháng 7năm 2019 đến ngày 7tháng 10 năm 2020 > Ngày 14 tháng 12 năm 2022 > Ngày 26 tháng 5 năm 2021 > Từ ngày 6 tháng 2 năm2019 đến ngày 6 tháng2 năm 2020 > Ngày 19 tháng 1năm 2021 > Từ ngày 25 tháng 1năm 2019 đến ngày 25tháng 1 năm 2021 > Từ ngày 1 tháng 8năm 2019 đến ngày 1 tháng11 năm 2028 > Từ ngày 18 tháng 7năm 2019 đến ngày 18tháng 1 năm 2022,numeric__Số cuối năm VND > 158.999.405.034 > 163.775.204.200 > 3.399.575.990 > 2.608.147.070 > 1.200.000.000 > 190.784.268.844 > 58.365.039.422 > 1.602.000.000,numeric__Kỳ hạn trả gốc và lãi > Từ ngày 22 tháng 7năm 2019 đến ngày 7tháng 10 năm 2020 > Ngày 14 tháng 12 năm 2022 > Ngày 26 tháng 5 năm 2021 > Từ ngày 6 tháng 2 năm2019 đến ngày 6 tháng2 năm 2020 > Ngày 19 tháng 1năm 2021 > Từ ngày 25 tháng 1năm 2019 đến ngày 25tháng 1 năm 2021 > Từ ngày 1 tháng 8năm 2019 đến ngày 1 tháng11 năm 2028 > Từ ngày 18 tháng 7năm 2019 đến ngày 18tháng 1 năm 2022
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,580.733.640.560,,580733640560.0,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,424.026.756.178156.706.884.382,,4.240267561781567e+23,
