row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.381.948.190.000,66.111.261.707,163.672.057.495,119.541.816.792,66.787.627.727,2.798.060.953.721,2381948190000.0,66111261707.0,163672057495.0,119541816792.0,66787627727.0,2798060953721.0
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,(107.187.668.550),-,(107.187.668.550),,,,-107187668550.0,,-107187668550.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,196.234.898.683,6.154.977.085,202.389.875.768,,,,196234898683.0,6154977085.0,202389875768.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,5.790.084.295,(12.114.965.772),-,(6.324.881.477),,,5790084295.0,-12114965772.0,,-6324881477.0
Khác,Năm trước > Khác,Khác,-,-,-,3.622.883.516,-,3.622.883.516,,,,3622883516.0,,3622883516.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.381.948.190.000,66.111.261.707,169.462.141.790,200.096.964.669,72.942.604.812,2.890.561.162.978,2381948190000.0,66111261707.0,169462141790.0,200096964669.0,72942604812.0,2890561162978.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.381.948.190.000,66.111.261.707,169.462.141.790,200.096.964.669,72.942.604.812,2.890.561.162.978,2381948190000.0,66111261707.0,169462141790.0,200096964669.0,72942604812.0,2890561162978.0
Góp vốn trong năm,Năm nay > Góp vốn trong năm,Góp vốn trong năm,-,-,-,-,9.535.629.857,9.535.629.857,,,,,9535629857.0,9535629857.0
Cổ tức đã công bố,Năm nay > Cổ tức đã công bố,Cổ tức đã công bố,142.899.640.000,-,-,(142.899.640.000),(5.005.885.000),(5.005.885.000),142899640000.0,,,-142899640000.0,-5005885000.0,-5005885000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,323.991.905.953,8.933.172.334,332.925.078.287,,,,323991905953.0,8933172334.0,332925078287.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,8.799.246.783,(18.202.567.733),747.180.252,(8.656.140.698),,,8799246783.0,-18202567733.0,747180252.0,-8656140698.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.524.847.830.000,66.111.261.707,178.261.388.573,362.986.662.889,87.152.702.255,3.219.359.845.424,2524847830000.0,66111261707.0,178261388573.0,362986662889.0,87152702255.0,3219359845424.0
