row_label_raw,row_label_full,col_0,Phương Nam,DIC Số 4,Bề tông,Thế thao,BĐS DIC,Bình Minh,Việt Thiên Lâm,Hội An,Anh em,VND Tổng cộng,numeric__Phương Nam,numeric__DIC Số 4,numeric__Bề tông,numeric__Thế thao,numeric__BĐS DIC,numeric__Bình Minh,numeric__Việt Thiên Lâm,numeric__Hội An,numeric__Anh em,numeric__VND Tổng cộng
Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,Giá gốc đầu tư:,,,,,,,,,,
Số đầu năm,Giá gốc đầu tư: > Số đầu năm,Số đầu năm,189.200.000.000,-,17.982.564.000,17.938.560.000,4.815.000.000,-,86.220.344.334,10.401.226.893,34.511.962.306,361.069.657.533,189200000000.0,,17982564000.0,17938560000.0,4815000000.0,,86220344334.0,10401226893.0,34511962306.0,361069657533.0
Tăng trong năm,Giá gốc đầu tư: > Tăng trong năm,Tăng trong năm,64.950.768.652,27.402.184.500,-,-,-,2.450.000.000,-,-,-,94.802.953.152,64950768652.0,27402184500.0,,,,2450000000.0,,,,94802953152.0
Giảm trong năm,Giá gốc đầu tư: > Giảm trong năm,Giảm trong năm,-,-,-,-,-,-,(86.220.344.334),(10.401.226.893),(34.511.962.306),(131.133.533.533),,,,,,,-86220344334.0,-10401226893.0,-34511962306.0,-131133533533.0
Số cuối năm,Giá gốc đầu tư: > Số cuối năm,Số cuối năm,254.150.768.652,27.402.184.500,17.982.564.000,17.938.560.000,4.815.000.000,2.450.000.000,-,-,-,324.739.077.152,254150768652.0,27402184500.0,17982564000.0,17938560000.0,4815000000.0,2450000000.0,,,,324739077152.0
Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,Phần lợi nhuận lũy kế sau khi đầu tư:,,,,,,,,,,
Số đầu năm,Phần lợi nhuận lũy kế sau khi đầu tư: > Số đầu năm,Số đầu năm,(97.116.782.393),-,10.868.332.591,(699.211.955),1.354.391.330,-,(2.754.499.240),5.206.741.839,(32.893.915.386),(116.034.943.214),-97116782393.0,,10868332591.0,-699211955.0,1354391330.0,,-2754499240.0,5206741839.0,-32893915386.0,-116034943214.0
(Lỗ) lợi nhuận được chia tử,Phần lợi nhuận lũy kế sau khi đầu tư: > (Lỗ) lợi nhuận được chia tử,(Lỗ) lợi nhuận được chia tử,(82.290.973.237),10.474.701.848,1.187.572.101,(1.579.682.600),5.129.036.103,(479.512.921),-,-,(1.618.046.920),(69.176.905.626),-82290973237.0,10474701848.0,1187572101.0,-1579682600.0,5129036103.0,-479512921.0,,,-1618046920.0,-69176905626.0
Thanh lý,Phần lợi nhuận lũy kế sau khi đầu tư: > Thanh lý,Thanh lý,-,-,-,-,-,-,2.754.499.240,(5.206.741.839),34.511.962.306,32.059.719.707,,,,,,,2754499240.0,-5206741839.0,34511962306.0,32059719707.0
Số cuối năm,Phần lợi nhuận lũy kế sau khi đầu tư: > Số cuối năm,Số cuối năm,(179.407.755.630),10.474.701.848,12.055.904.692,(2.278.894.555),6.483.427.433,(479.512.921),-,-,-,(153.152.129.133),-179407755630.0,10474701848.0,12055904692.0,-2278894555.0,6483427433.0,-479512921.0,,,,-153152129133.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,92.083.217.607,-,28.850.896.591,17.239.348.045,6.169.391.330,-,83.465.845.094,15.607.968.732,1.618.046.920,245.034.714.319,92083217607.0,,28850896591.0,17239348045.0,6169391330.0,,83465845094.0,15607968732.0,1618046920.0,245034714319.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,74.743.013.022,37.876.886.348,30.038.468.692,15.659.665.445,11.298.427.433,1.970.487.079,-,-,-,171.586.948.019,74743013022.0,37876886348.0,30038468692.0,15659665445.0,11298427433.0,1970487079.0,,,,171586948019.0
