row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,17.823.458.281,141.321.000,231.730.816,18.196.510.097,17823458281.0,141321000.0,231730816.0,18196510097.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,3.934.458.000,-,-,3.934.458.000,3934458000.0,,,3934458000.0
Tăng do hợp nhất kinh doanh,Nguyên giá: > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,84.099.997,119.348.400,-,203.448.397,84099997.0,119348400.0,,203448397.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(1.245.029.999),-,-,(1.245.029.999),-1245029999.0,,,-1245029999.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,20.596.986.279,260.669.400,231.730.816,21.089.386.495,20596986279.0,260669400.0,231730816.0,21089386495.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,264.099.997,85.680.000,-,349.779.997,264099997.0,85680000.0,,349779997.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(612.992.486),(141.321.000),(102.347.775),(856.661.261),-612992486.0,-141321000.0,-102347775.0,-856661261.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(44.560.965),(3.889.506),(11.586.540),(60.037.011),-44560965.0,-3889506.0,-11586540.0,-60037011.0
Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế: > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,(84.099.997),(109.624.635),-,(193.724.632),-84099997.0,-109624635.0,,-193724632.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(741.653.448),(254.835.141),(113.934.315),(1.110.422.904),-741653448.0,-254835141.0,-113934315.0,-1110422904.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,17.210.465.795,-,129.383.041,17.339.848.836,17210465795.0,,129383041.0,17339848836.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,19.855.332.831,5.834.259,117.796.501,19.978.963.591,19855332831.0,5834259.0,117796501.0,19978963591.0
