row_label_raw,row_label_full,col_0,Bất động sản,Thương mại và dịch vụ,Cung cấp dịch vụ,Loại trừ,Tổng cộng,numeric__Bất động sản,numeric__Thương mại và dịch vụ,numeric__Cung cấp dịch vụ,numeric__Loại trừ,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,,,
Doanh thu thuần từ khách hàng bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Doanh thu thuần từ khách hàng bên ngoài,Doanh thu thuần từ khách hàng bên ngoài,899.507.343.454,417.124.263.421,389.868.064.236,(112.789.154.252),1.593.710.516.859,899507343454.0,417124263421.0,389868064236.0,-112789154252.0,1593710516859.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả kinh doanh bộ phận,Kết quả hoạt động kinh doanh > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,137.504.235.865,63.751.789.747,30.050.283.919,135.912.326.255,367.218.635.786(159.733.770.590)(62.488.637.454),137504235865.0,63751789747.0,30050283919.0,135912326255.0,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,90.349.743.460(28.532.438.454),,,,,
Lỗ từ công ty liên kết,Chi phí không phân bổ > Lỗ từ công ty liên kết,Lỗ từ công ty liên kết,,,,,48.530.124.253,,,,,48530124253.0
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,,,,,,,,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,,
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,255.343.657.001(39.192.766.796),,,,,
Chi phí thuế TNDN,Lợi nhuận trước thuế > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,(13.761.014.437),,,,,-13761014437.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,,,
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,202.389.875.768(6.154.977.085),,,,,
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,,,,,,,,,
Lợi nhuận sau thuế công ty mẹ,Lợi ích của cổ đông không kiểm soát > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,,,196.234.898.683,,,,,196234898683.0
Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,4.855.671.298.017,290.879.284.197,236.256.160.123,(118.088.726.875),5.264.718.015.462846.426.085.560,4855671298017.0,290879284197.0,236256160123.0,-118088726875.0,5.264718015462847e+24
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,,,,,6.111.144.101.022,,,,,6111144101022.0
Công nợ bộ phận,Tài sản không phân bổ > Công nợ bộ phận,Công nợ bộ phận,3.013.269.933.302,66.052.565.974,142.686.078.633,(97.181.942.985),3.124.826.634.92495.756.303.120,3013269933302.0,66052565974.0,142686078633.0,-97181942985.0,3.124826634924957e+23
Công nợ không phân bổ,Công nợ không phân bổ,Công nợ không phân bổ,,,,,,,,,,
Tổng công nợ,Công nợ không phân bổ > Tổng công nợ,Tổng công nợ,,,,,3.220.582.938.044,,,,,3220582938044.0
