row_label_raw,row_label_full,col_0,Loại hình kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Loại hình kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Loại hình kinh doanh,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,,
Công ty Cổ phần Vina Đại Phước (*),Công ty Cổ phần Vina Đại Phước (*),Công ty Cổ phần Vina Đại Phước (*),Bất động sản,128.800.000.000,(7.481.277.466),"8,00%",128.800.000.000,(7.481.277.466),"8,00%",,128800000000.0,-7481277466.0,0.08,128800000000.0,-7481277466.0,0.08
Công ty Cổ phần Phát triển Đô thị Phú Quốc,Công ty Cổ phần Phát triển Đô thị Phú Quốc,Công ty Cổ phần Phát triển Đô thị Phú Quốc,Bất động sản,50.000.000.000,-,"6,67%",50.000.000.000,-,"6,67%",,50000000000.0,,0.0667,50000000000.0,,0.0667
Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Đầu tư và thương mại,41.104.911.284,-,"14,75%",41.104.911.284,-,"14,75%",,41104911284.0,,0.1475,41104911284.0,,0.1475
Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Sản xuất cao su,20.000.000.000,(20.000.000.000),"5,00%",20.000.000.000,(20.000.000.000),"5,00%",,20000000000.0,-20000000000.0,0.05,20000000000.0,-20000000000.0,0.05
Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Bất động sản,6.000.000.000,-,"15,00%",6.000.000.000,-,"15,00%",,6000000000.0,,0.15,6000000000.0,,0.15
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Bất động sản,1.240.000.000,(1.155.107.780),"9,02%",1.240.000.000,(783.914.553),"9,02%",,1240000000.0,-1155107780.0,0.0902,1240000000.0,-783914553.0,0.0902
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Bất động sản,173.958.093,-,"0,50%",-,-,,,173958093.0,,0.005,,,
Công ty TNHH Taekwang - DIC,Công ty TNHH Taekwang - DIC,Công ty TNHH Taekwang - DIC,Xây dựng,-,-,,38.025.000.000,-,"10,00%",,,,,38025000000.0,,0.1
Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Bất động sản,-,-,,8.469.000.000,(6.124.754),"5,00%",,,,,8469000000.0,-6124754.0,0.05
Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Xây lắp,-,-,,7.369.504.500,-,"14,55%",,,,,7369504500.0,,0.14550000000000002
Khoản đầu tư dài hạn khác,Khoản đầu tư dài hạn khác,Khoản đầu tư dài hạn khác,,194.500.000,(116.348.408),"0,01%",194.500.000,(79.230.182),"0,01%",,194500000.0,-116348408.0,0.0001,194500000.0,-79230182.0,0.0001
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,247.513.369.377,(28.752.733.654),,301.202.915.784,(28.350.546.955),,,247513369377.0,-28752733654.0,,301202915784.0,-28350546955.0,
