row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Nhà cửa và vật kiến trúc,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Nhà cửa và vật kiến trúc,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,144.455.832.878,-,144.455.832.878,144455832878.0,,144455832878.0
Kết chuyển từ chi phí sân xuất kinh doanh dở dang,Nguyên giá: > Kết chuyển từ chi phí sân xuất kinh doanh dở dang,Kết chuyển từ chi phí sân xuất kinh doanh dở dang,-,45.419.179.250,45.419.179.250,,45419179250.0,45419179250.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,144.455.832.878,45.419.179.250,189.875.012.128,144455832878.0,45419179250.0,189875012128.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(26.242.809.625),-,(26.242.809.625),-26242809625.0,,-26242809625.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.889.116.656),(454.191.792),(3.343.308.448),-2889116656.0,-454191792.0,-3343308448.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(29.131.926.281),(454.191.792),(29.586.118.073),-29131926281.0,-454191792.0,-29586118073.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,118.213.023.253,-,118.213.023.253,118213023253.0,,118213023253.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,115.323.906.597,44.964.987.458,160.288.894.055,115323906597.0,44964987458.0,160288894055.0
