row_label_raw,row_label_full,Vay ngân hàng(Thuyết minh số 24.1và Thuyết minh số24.2),Số đầu năm > 758.613.227.354,Tăng trong năm > 764.296.744.502,Giảm trong năm > (719.664.011.988),VND Số cuối năm > 803.245.959.868,numeric__Số đầu năm > 758.613.227.354,numeric__Tăng trong năm > 764.296.744.502,numeric__Giảm trong năm > (719.664.011.988),numeric__VND Số cuối năm > 803.245.959.868
Trái phiếu khôngchuyển đổi (Thuyếtminh số 24.3),Trái phiếu khôngchuyển đổi (Thuyếtminh số 24.3),Trái phiếu khôngchuyển đổi (Thuyếtminh số 24.3),1.000.000.000.000,-,(200.000.000.000),800.000.000.000,1000000000000.0,,-200000000000.0,800000000000.0
Vay từ các cá nhân,Vay từ các cá nhân,Vay từ các cá nhân,5.347.580.847,31.822.878.000,(20.782.063.000),16.388.395.847,5347580847.0,31822878000.0,-20782063000.0,16388395847.0
Vay từ các tổ chức,Vay từ các tổ chức,Vay từ các tổ chức,148.000.000,-,(148.000.000),-,148000000.0,,-148000000.0,
Chi phí phát hành tráiphiêu (Thuyết minhsố 24.3),Chi phí phát hành tráiphiêu (Thuyết minhsố 24.3),Chi phí phát hành tráiphiêu (Thuyết minhsố 24.3),(4.413.387.998),-,3.209.736.728,(1.203.651.270),-4413387998.0,,3209736728.0,-1203651270.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.759.695.420.203,796.119.622.502,(937.384.338.260),1.618.430.704.445,1759695420203.0,796119622502.0,-937384338260.0,1618430704445.0
Trong đó:Ngắn hạn,Trong đó:Ngắn hạn,Trong đó:Ngắn hạn,364.231.604.737,,,1.194.403.948.267,364231604737.0,,,1194403948267.0
Dài hạn,Dài hạn,Dài hạn,1.395.463.815.466,,,424.026.756.178,1395463815466.0,,,424026756178.0
