row_label_raw,row_label_full,col_0,Bất động sản,Thương mại và dịch vụ,Cung cấp dịch vụ xây dựng,Loại trừ,VND Tổng cộng,numeric__Bất động sản,numeric__Thương mại và dịch vụ,numeric__Cung cấp dịch vụ xây dựng,numeric__Loại trừ,numeric__VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,,,,,
Doanh thu thuần từ khách hàng bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Doanh thu thuần từ khách hàng bên ngoài,Doanh thu thuần từ khách hàng bên ngoài,1.974.195.312.440,419.149.043.445,269.806.753.137,(318.142.963.503),2.345.008.145.519,1974195312440.0,419149043445.0,269806753137.0,-318142963503.0,2345008145519.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả kinh doanh bộ phận,Kết quả hoạt động kinh doanh > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,489.484.148.180,79.149.030.477,(1.026.833.731),(3.022.788.540),564.583.556.386(250.489.382.685)(69.176.905.626),489484148180.0,79149030477.0,-1026833731.0,-3022788540.0,
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(69.176.905.626),,,,,-69176905626.0
Lỗ từ công ty liên kết,Kết quả hoạt động kinh doanh > Lỗ từ công ty liên kết,Lỗ từ công ty liên kết,,,,,154.963.084.314,,,,,154963084314.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,,,,,(60.482.178.639),,,,,-60482178639.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,88.885.166.344,,,,,88885166344.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,
Lợi nhuận trước thuế,Lợi nhuận khác > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,428.283.340.094,,,,,428283340094.0
Chi phí thuế TNDN,Lợi nhuận khác > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,(89.843.842.261),,,,,-89843842261.0
Chi phí thuế TNDN hoãn lại,Lợi nhuận khác > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,(5.514.419.546),,,,,-5514419546.0
Lợi nhuận sau thuế,Lợi nhuận khác > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,332.925.078.287,,,,,332925078287.0
Lợi ích của cổ đông không kiểm soát,Lợi nhuận khác > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,,,,(8.933.172.334),,,,,-8933172334.0
Lợi nhuận sau thuế công ty mẹ,Lợi nhuận khác > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,,,323.991.905.953,,,,,323991905953.0
Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,4.966.674.759.543,249.531.404.729,600.479.740.399,(187.151.775.138),5.629.534.129.533,4966674759543.0,249531404729.0,600479740399.0,-187151775138.0,5629534129533.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,1.202.574.037.887,,,,,1202574037887.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,6.832.108.167.420,,,,,6832108167420.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,3.128.197.975.901,91.340.105.994,452.810.820.009,(215.837.330.231),3.456.511.571.673,3128197975901.0,91340105994.0,452810820009.0,-215837330231.0,3456511571673.0
Công nợ không phân bổ,Tài sản và công nợ > Công nợ không phân bổ,Công nợ không phân bổ,,,,,156.236.750.323,,,,,156236750323.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,3.612.748.321.996,,,,,3612748321996.0
