row_label_raw,row_label_full,Đầu tư vào công ty liên kết(Thuyết minh số 18.1) > Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 18.2) > Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 18.3),Số cuối năm > 171.586.948.019 > 247.513.369.377 > 12.190.000.000,VND Số đầu năm > 245.034.714.319 > 301.202.915.784 > 16.000.000.000,numeric__Số cuối năm > 171.586.948.019 > 247.513.369.377 > 12.190.000.000,numeric__VND Số đầu năm > 245.034.714.319 > 301.202.915.784 > 16.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,431.290.317.396,562.237.630.103,431290317396.0,562237630103.0
Dự phòng cho các khoản đầu tư dài hạn,Dự phòng cho các khoản đầu tư dài hạn,Dự phòng cho các khoản đầu tư dài hạn,(28.752.733.654),(28.350.546.955),-28752733654.0,-28350546955.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,402.537.583.742,533.887.083.148,402537583742.0,533887083148.0
