row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ phần DIC Số 4,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Công ty liên kết,Cung cấp dịch vụ,2.208.010.428,52.500.000.000,,,2208010428.0,52500000000.0
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty liên kết,Cung cấp dịch vụ,1.443.176.623,1.039.018.514,,,1443176623.0,1039018514.0
Công ty Cổ phần Vina Đại Phước,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Bên liên quan,Cung cấp dịch vụ,781.678.376,77.485.045,,,781678376.0,77485045.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Bên liên quan,Cung cấp dịch vụ,135.722.226,-,,,135722226.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty liên kết,Cung cấp dịch vụ,110.973.300,89.405.388,,,110973300.0,89405388.0
Công ty Cổ phần Đầu tư và Thương mại DIC,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty liên kết,Cung cấp dịch vụ,11.000,-,,,11000.0,
Công ty Cổ phần Bất động sản DIC,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty liên kết,Cung cấp dịch vụ,-,299.677.500,,,,299677500.0
,,,,,4.679.571.953,54.005.586.447,,,4679571953.0,54005586447.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty liên kết,Tạm ứng chuyển nhượng dự án,189.685.905.922,7.335.286.419,,,189685905922.0,7335286419.0
Công ty Cổ phần Bất động sản DIC,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty liên kết,Trả trước dịch vụ cung cấp,1.930.045.518,-,,,1930045518.0,
,,,,,191.615.951.440,7.335.286.419,,,191615951440.0,7335286419.0
