row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,227.126.315.539,158.358.728.911,43.807.298.171,9.339.419.575,12.629.634.342,451.261.396.538,227126315539.0,158358728911.0,43807298171.0,9339419575.0,12629634342.0,451261396538.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,8.296.641.011,13.312.607.272,1.075.505.218,83.882.432,22.768.635.933,,8296641011.0,13312607272.0,1075505218.0,83882432.0,22768635933.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,5.274.256.529,561.131.414,-,-,-,5.835.387.943,5274256529.0,561131414.0,,,,5835387943.0
Tăng do hợp nhất kinh doanh,Nguyên giá: > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,43.388.327.755,215.205.355.125,14.090.058.704,340.229.838,-,273.023.971.422,43388327755.0,215205355125.0,14090058704.0,340229838.0,,273023971422.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(17.117.217.856),(33.903.575.412),(2.290.888.017),(178.300.148),(45.500.000),(53.535.481.433),-17117217856.0,-33903575412.0,-2290888017.0,-178300148.0,-45500000.0,-53535481433.0
Chuyển sang bất động sản dở dang,Nguyên giá: > Chuyển sang bất động sản dở dang,Chuyển sang bất động sản dở dang,(12.814.122.674),-,-,(309.221.950),(77.361.400),(13.200.706.024),-12814122674.0,,,-309221950.0,-77361400.0,-13200706024.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,245.857.559.293,348.518.281.049,68.919.076.130,10.267.632.533,12.590.655.374,686.153.204.379,245857559293.0,348518281049.0,68919076130.0,10267632533.0,12590655374.0,686153204379.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,6.978.980.709,56.796.710.588,27.917.314.942,6.896.819.270,2.217.479.109,100.807.304.618,6978980709.0,56796710588.0,27917314942.0,6896819270.0,2217479109.0,100807304618.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(77.911.768.461),(118.877.085.058),(27.360.088.473),(7.847.853.475),(5.068.757.663),(237.065.553.130),-77911768461.0,-118877085058.0,-27360088473.0,-7847853475.0,-5068757663.0,-237065553130.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(6.654.738.599),(6.863.997.525),(4.336.599.628),(477.112.552),(657.161.728),(18.989.610.032),-6654738599.0,-6863997525.0,-4336599628.0,-477112552.0,-657161728.0,-18989610032.0
Tăng do hợp nhất kinh doanh,Giá trị khấu hao lũy kế: > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,(19.031.967.050),(106.581.996.955),(13.090.738.197),(333.217.546),-,(139.037.919.748),-19031967050.0,-106581996955.0,-13090738197.0,-333217546.0,,-139037919748.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,9.714.869.365,30.872.708.601,2.267.510.221,178.300.148,30.982.771,43.064.371.106,9714869365.0,30872708601.0,2267510221.0,178300148.0,30982771.0,43064371106.0
Chuyển sang bất động sản dở dang,Giá trị khấu hao lũy kế: > Chuyển sang bất động sản dở dang,Chuyển sang bất động sản dở dang,5.809.938.105,-,-,309.221.950,77.361.400,6.196.521.455,5809938105.0,,,309221950.0,77361400.0,6196521455.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(88.073.666.640),(201.450.370.937),(42.519.916.077),(8.170.661.475),(5.617.575.220),(345.832.190.349),-88073666640.0,-201450370937.0,-42519916077.0,-8170661475.0,-5617575220.0,-345832190349.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,149.214.547.078,39.481.643.853,16.447.209.698,1.491.566.100,7.560.876.679,214.195.843.408,149214547078.0,39481643853.0,16447209698.0,1491566100.0,7560876679.0,214195843408.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,157.783.892.653,147.067.910.112,26.399.160.053,2.096.971.058,6.973.080.154,340.321.014.030,157783892653.0,147067910112.0,26399160053.0,2096971058.0,6973080154.0,340321014030.0
