row_label_raw,row_label_full,col_0,Miền Bắc Triệu đồng,Miền Trung Triệu đồng,Miền Nam Triệu đồng,Tổng bộ phận đã báo cáo Triệu đồng,Loại trừ Triệu đồng,Tổng cộng Triệu đồng,numeric__Miền Bắc Triệu đồng,numeric__Miền Trung Triệu đồng,numeric__Miền Nam Triệu đồng,numeric__Tổng bộ phận đã báo cáo Triệu đồng,numeric__Loại trừ Triệu đồng,numeric__Tổng cộng Triệu đồng
Doanh thu,Doanh thu,Doanh thu,3.202.202,3.237.641,36.716.348,43.156.191,(24.038.321),19.117.870,3202202.0,3237641.0,36716348.0,43156191.0,-24038321.0,19117870.0
Doanh thu lãi,Doanh thu lãi,Doanh thu lãi,3.138.713,3.112.514,35.198.799,41.450.026,(24.038.321),17.411.705,3138713.0,3112514.0,35198799.0,41450026.0,-24038321.0,17411705.0
Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,24.584,109.602,817.563,951.749,-,951.749,24584.0,109602.0,817563.0,951749.0,,951749.0
Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,38.905,15.525,699.986,754.416,-,754.416,38905.0,15525.0,699986.0,754416.0,,754416.0
Chi phí,Chi phí,Chi phí,(2.789.879),(2.775.666),(32.526.190),(38.091.735),24.038.321,(14.053.414),-2789879.0,-2775666.0,-32526190.0,-38091735.0,24038321.0,-14053414.0
Chi phí lãi,Chi phí lãi,Chi phí lãi,(2.360.819),(2.323.034),(28.876.152),(33.560.005),24.038.321,(9.521.684),-2360819.0,-2323034.0,-28876152.0,-33560005.0,24038321.0,-9521684.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,(15.970),(20.730),(138.141),(174.841),-,(174.841),-15970.0,-20730.0,-138141.0,-174841.0,,-174841.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(413.090),(431.902),(3.511.897),(4.356.889),-,(4.356.889),-413090.0,-431902.0,-3511897.0,-4356889.0,,-4356889.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,412.323,461.975,4.190.158,5.064.456,-,5.064.456,412323.0,461975.0,4190158.0,5064456.0,,5064456.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(3.873),(12.916),(504.113),(520.902),-,(520.902),-3873.0,-12916.0,-504113.0,-520902.0,,-520902.0
Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,408.450,449.059,3.686.045,4.543.554,-,4.543.554,408450.0,449059.0,3686045.0,4543554.0,,4543554.0
