row_label_raw,row_label_full,col_0,Phương tiện vận tảiTriệu đồng,numeric__Phương tiện vận tảiTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,158.092,158092.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(1.233),-1233.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,156.859,156859.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,54.360,54360.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,25.891,25891.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao luỹ kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(1.078),-1078.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,79.173,79173.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,103.732,103732.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,77.686,77686.0
