row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2024,Năm nayTriệu đồng > Ngày 1 tháng 1 năm 2024,Năm trướcTriệu đồng > Ngày 1 tháng 1 năm 2024,numeric__Năm nayTriệu đồng > Ngày 1 tháng 1 năm 2024,numeric__Năm trướcTriệu đồng > Ngày 1 tháng 1 năm 2024
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,18.845,49.625,18845.0,49625.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,-,637.815,,637815.0
,,,18.845,687.440,18845.0,687440.0
Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,,
Trái phiếu đặc biệt do VAMC phát hành,Sử dụng dự phòng > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,-,(162.065),,-162065.0
,,,-,(162.065),,-162065.0
Hoàn nhập trong năm,Hoàn nhập trong năm,Hoàn nhập trong năm,Hoàn nhập trong năm,Hoàn nhập trong năm,,
Chứng khoán đầu tư sẵn sàng để bán,Hoàn nhập trong năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,(4.051),(30.780),-4051.0,-30780.0
Trái phiếu đặc biệt do VAMC phát hành,Hoàn nhập trong năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,-,(475.750),,-475750.0
,,,(4.051),(506.530),-4051.0,-506530.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,,
Chứng khoán đầu tư sẵn sàng để bán,Ngày 31 tháng 12 năm 2024 > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,14.794,18.845,14794.0,18845.0
,,,14.794,18.845,14794.0,18845.0
