row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023 VND,2022 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2023 VND,numeric__2022 VND
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lỗ trước thuế Điều chỉnh cho,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ trước thuế Điều chỉnh cho,Lỗ trước thuế Điều chỉnh cho,1,,(112.294.882.144),(982.669.469.691),1.0,,-112294882144.0,-982669469691.0
Khấu hao,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao,Khấu hao,2,,4.510.996.157,5.071.225.625,2.0,,4510996157.0,5071225625.0
Lỗ/(lãi) chênh lệch tỷ giá hối đoái chưa thực hiện,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ/(lãi) chênh lệch tỷ giá hối đoái chưa thực hiện,Lỗ/(lãi) chênh lệch tỷ giá hối đoái chưa thực hiện,4,,15.787.535.380,(254.719.183.834),4.0,,15787535380.0,-254719183834.0
Lãi từ hoạt động đầu tư,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,5,,(3.376.204.268.660),(1.858.245.596.915),5.0,,-3376204268660.0,-1858245596915.0
Chi phí lãi vay và chi phí khác,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí khác,Chi phí lãi vay và chi phí khác,6,,3.146.720.144.643,2.393.471.786.007,6.0,,3146720144643.0,2393471786007.0
Lỗ từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lỗ từ hoạt động kinh doanh trước những thay đổi vốn lưu động,8,,(321.480.474.624),(697.091.238.808),8.0,,-321480474624.0,-697091238808.0
Biến động các khoản phải thu và tài sản khác,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,9,,(94.718.081.323),309.150.375.082,9.0,,-94718081323.0,309150375082.0
Biến động các khoản phải trả và nợ khác,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ khác,Biến động các khoản phải trả và nợ khác,11,,(3.423.497.926),(185.568.586.360),11.0,,-3423497926.0,-185568586360.0
Biến động các khoản trả trước,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản trả trước,Biến động các khoản trả trước,12,,(3.021.295.274),1.574.472.655,12.0,,-3021295274.0,1574472655.0
Biến động chứng khoán kinh doanh,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,100.229.315.000,(100.229.315.000),13.0,,100229315000.0,-100229315000.0
,,,,,(322.414.034.147),(672.164.292.431),,,-322414034147.0,-672164292431.0
Tiền lãi vay đã trả,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(3.228.296.585.803),(2.207.682.139.157),14.0,,-3228296585803.0,-2207682139157.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(3.550.710.619.950),(2.879.846.431.588),20.0,,-3550710619950.0,-2879846431588.0
