row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,11.805.346.920.000,11.084.246.541.079,(1.695.338.182.568),2.382.028.759.640,23.576.284.038.151,11805346920000.0,11084246541079.0,-1695338182568.0,2382028759640.0,23576284038151.0
Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,2.431.900.910.000,(2.361.118.840.000),-,-,70.782.070.000,2431900910000.0,-2361118840000.0,,,70782070000.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(871.387.980.144),(871.387.980.144),,,,-871387980144.0,-871387980144.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(1.138.979.826.400),(1.138.979.826.400),,,,-1138979826400.0,-1138979826400.0
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,14.237.247.830.000,8.723.127.701.079,(1.695.338.182.568),371.660.953.096,21.636.698.301.607,14237247830000.0,8723127701079.0,-1695338182568.0,371660953096.0,21636698301607.0
Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,71.186.230.000,(50.000.000),-,-,71.136.230.000,71186230000.0,-50000000.0,,,71136230000.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(112.294.882.144),(112.294.882.144),,,,-112294882144.0,-112294882144.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,14.308.434.060.000,8.723.077.701.079,(1.695.338.182.568),259.366.070.952,21.595.539.649.463,14308434060000.0,8723077701079.0,-1695338182568.0,259366070952.0,21595539649463.0
