row_label_raw,row_label_full,col_0,Số lượng,31/12/2023,31/12/2023_1,Số lượng_1,1/1/2023,1/1/2023_1,numeric__Số lượng,numeric__31/12/2023,numeric__31/12/2023_1,numeric__Số lượng_1,numeric__1/1/2023,numeric__1/1/2023_1
,,,Số lượng,Giá gốc VND,Dự phòng giảm giá VND,Số lượng,Giá gốc VND,Dự phòng giảm giá VND,,,,,,
Trái phiếu,Trái phiếu,Trái phiếu,-,-,-,1.000.000,100.229.315.000,-,,,,1000000.0,100229315000.0,
