row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,35.681.203.528,9.790.272.240,6.619.023.455,52.090.499.223,35681203528.0,9790272240.0,6619023455.0,52090499223.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,284.117.182,-,284.117.182,,284117182.0,,284117182.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,35.681.203.528,10.074.389.422,6.619.023.455,52.374.616.405,35681203528.0,10074389422.0,6619023455.0,52374616405.0
Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,,,,
Số dư đầu năm,Giá trị hao mònlũy kế > Số dư đầu năm,Số dư đầu năm,30.395.085.584,8.780.815.716,2.158.680.149,41.334.581.449,30395085584.0,8780815716.0,2158680149.0,41334581449.0
Khấu hao trongnăm,Giá trị hao mònlũy kế > Khấu hao trongnăm,Khấu hao trongnăm,2.781.395.271,626.430.311,1.103.170.575,4.510.996.157,2781395271.0,626430311.0,1103170575.0,4510996157.0
Số dư cuối năm,Giá trị hao mònlũy kế > Số dư cuối năm,Số dư cuối năm,33.176.480.855,9.407.246.027,3.261.850.724,45.845.577.606,33176480855.0,9407246027.0,3261850724.0,45845577606.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.286.117.944,1.009.456.524,4.460.343.306,10.755.917.774,5286117944.0,1009456524.0,4460343306.0,10755917774.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.504.722.673,667.143.395,3.357.172.731,6.529.038.799,2504722673.0,667143395.0,3357172731.0,6529038799.0
