row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,2023VND,2022VND,numeric__Tính chất giao dịch,numeric__2023VND,numeric__2022VND
Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Khoản cho vay đã cấp,16.000.000.000,-,,16000000000.0,
Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Khoản cho vay đã thu hồi,16.000.000.000,-,,16000000000.0,
Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Thu nhập lãi từ các khoảncho vay đã cấp,697.191.779,-,,697191779.0,
Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Công ty TNHHMasan Agri (trướcđầy là “Công ty Cổ phần Masan Agri”),Tiền thu từ thanh lý cáckhoản đầu tư vốn,2.030.991.202.463,-,,2030991202463.0,
Công ty TNHHMEATDeli HN,Công ty TNHHMEATDeli HN,Công ty TNHHMEATDeli HN,Mua hàng,1.259.842.307,1.842.239.661,,1259842307.0,1842239661.0
Công ty TNHHMEATDeli Sài Gòn,Công ty TNHHMEATDeli Sài Gòn,Công ty TNHHMEATDeli Sài Gòn,Mua hàng,155.337.876,148.343.098,,155337876.0,148343098.0
Công ty Cổ phầnMobicast,Công ty Cổ phầnMobicast,Công ty Cổ phầnMobicast,Khoản cho vay đã cấp,5.500.000.000,290.000.000.000,,5500000000.0,290000000000.0
Công ty Cổ phầnMobicast,Công ty Cổ phầnMobicast,Công ty Cổ phầnMobicast,Khoản cho vay đã thu hồi,58.000.000.000,130.000.000.000,,58000000000.0,130000000000.0
Công ty Cổ phầnMobicast,Công ty Cổ phầnMobicast,Công ty Cổ phầnMobicast,Thu nhập lãi từ các khoảncho vay đã cấp,27.094.631.505,5.990.917.805,,27094631505.0,5990917805.0
Công ty Cổ phầnMobicast,Công ty Cổ phầnMobicast,Công ty Cổ phầnMobicast,Mua dịch vụ,113.370.694,150.141.178,,113370694.0,150141178.0
Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Chia sẻ chi phí,212.772.569,648.000.000,,212772569.0,648000000.0
Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Lãi trái phiếu đã trả,945.644.466,-,,945644466.0,
Công ty Cổ phầnPhúc Long Heritage,Công ty Cổ phầnPhúc Long Heritage,Công ty Cổ phầnPhúc Long Heritage,Mua hàng,306.404.345,-,,306404345.0,
Công ty Cổ phầnPhúc Long Heritage,Công ty Cổ phầnPhúc Long Heritage,Công ty Cổ phầnPhúc Long Heritage,Chia sẻ chi phí,2.803.191.781,5.255.525.798,,2803191781.0,5255525798.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Techcombank và cáccông ty con (**),Các bên liên quan khác > Techcombank và cáccông ty con (**),Techcombank và cáccông ty con (**),Trái phiếu phát hành (đại lýphát hành),1.500.000.000.000,1.500.000.000.000,,1500000000000.0,1500000000000.0
Techcombank và cáccông ty con (**),Các bên liên quan khác > Techcombank và cáccông ty con (**),Techcombank và cáccông ty con (**),Phí phát hành trái phiếu,15.000.000.000,33.150.000.000,,15000000000.0,33150000000.0
Techcombank và cáccông ty con (**),Các bên liên quan khác > Techcombank và cáccông ty con (**),Techcombank và cáccông ty con (**),Mua chứng khoán kinh doanh,3.673.383.304.828,-,,3673383304828.0,
Techcombank và cáccông ty con (**),Các bên liên quan khác > Techcombank và cáccông ty con (**),Techcombank và cáccông ty con (**),Bán chứng khoán kinh doanh,3.573.153.989.828,100.229.315.000,,3573153989828.0,100229315000.0
Thành viên quản lýchủ chốt,Các bên liên quan khác > Thành viên quản lýchủ chốt,Thành viên quản lýchủ chốt,Thù lao cho thành viên quảnlý chủ chốt (***),44.233.867.573,"28,660,341,139",,44233867573.0,
