row_label_raw,row_label_full,col_0,1/1/2023Giá trị ghi sổ/Sốcó khả năngtrả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > Hoàn trảVND,31/12/2023Giá trị ghi sổ/Sốcó khả năngtrả nợVND,numeric__1/1/2023Giá trị ghi sổ/Sốcó khả năngtrả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > Hoàn trảVND,numeric__31/12/2023Giá trị ghi sổ/Sốcó khả năngtrả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.385.868.000.000,6.134.600.000.000,(7.520.468.000.000),-,1385868000000.0,6134600000000.0,-7520468000000.0,
Vay và trái phiếu phát hành dài hạn đến hạn trả,Vay và trái phiếu phát hành dài hạn đến hạn trả,Vay và trái phiếu phát hành dài hạn đến hạn trả,14.900.000.000.000,1.846.062.500.000,(14.900.000.000.000),1.846.062.500.000,14900000000000.0,1846062500000.0,-14900000000000.0,1846062500000.0
,,,16.285.868.000.000,7.980.662.500.000,(22.420.468.000.000),1.846.062.500.000,16285868000000.0,7980662500000.0,-22420468000000.0,1846062500000.0
