row_label_raw,row_label_full,(*) Trong đó:,(*) Trong đó:_1,(*) Trong đó:_2,numeric__(*) Trong đó:_1,numeric__(*) Trong đó:_2
Phải trả khác là các bên liên quan (xem thuyết minh IX.3),Phải trả khác là các bên liên quan (xem thuyết minh IX.3),Phải trả khác là các bên liên quan (xem thuyết minh IX.3),261.337.262.514,238.664.457.100,261337262514.0,238664457100.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,503.233.050.083,554.494.212.053,503233050083.0,554494212053.0
Cộng,Cộng,Cộng,764.570.312.597,793.158.669.153,764570312597.0,793158669153.0
