row_label_raw,row_label_full,Khoản mục,Máy móc thiết bị,Phương tiện vận tải,Thiết bị dụng cụ quản lý,Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị dụng cụ quản lý,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,525.124.990,-,11.580.291.834,12.105.416.824,525124990.0,,11580291834.0,12105416824.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,54.000.000,54.000.000,,,54000000.0,54000000.0
Chuyển từ thuê tài chính,Nguyên giá > Chuyển từ thuê tài chính,Chuyển từ thuê tài chính,-,2.426.950.909,-,2.426.950.909,,2426950909.0,,2426950909.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(37.960.000),(1.262.300.000),(974.890.979),(2.275.150.979),-37960000.0,-1262300000.0,-974890979.0,-2275150979.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,487.164.990,1.164.650.909,10.659.400.855,12.311.216.754,487164990.0,1164650909.0,10659400855.0,12311216754.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,525.124.990,-,11.245.871.179,11.770.996.169,525124990.0,,11245871179.0,11770996169.0
Chuyển từ thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ thuê tài chính,Chuyển từ thuê tài chính,-,939.580.109,-,939.580.109,,939580109.0,,939580109.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,256.542.987,132.171.908,388.714.895,,256542987.0,132171908.0,388714895.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(37.960.000),(586.067.857),(959.133.402),(1.583.161.259),-37960000.0,-586067857.0,-959133402.0,-1583161259.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,487.164.990,610.055.239,10.418.909.685,11.516.129.914,487164990.0,610055239.0,10418909685.0,11516129914.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,-,334.420.655,334.420.655,,,334420655.0,334420655.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,554.595.670,240.491.170,795.086.840,,554595670.0,240491170.0,795086840.0
