row_label_raw,row_label_full,Phải trả khác (tiếp theo),col_1,31/12/2024,01/01/2024,numeric__col_1,numeric__31/12/2024,numeric__01/01/2024
Công ty Cổ phần Khai thác và Quản lý KCNĐặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý KCNĐặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý KCNĐặng Huỳnh,Lãi vay,(9.580.694.302),-,,-9580694302.0,
Công ty Cổ phần Khai thác và Quản lý KCNĐặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý KCNĐặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý KCNĐặng Huỳnh,Lãi vay,(9.580.694.302),-,,-9580694302.0,
Công ty Cổ phần Đầu tư Phát triển Bất động sảnĐông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sảnĐông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sảnĐông Sài Gòn,Lãi vay,(3.368.649.088),(759.895.069),,-3368649088.0,-759895069.0
Công ty Cổ phần Đầu tư Phát triển Bất động sảnĐông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sảnĐông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sảnĐông Sài Gòn,Lãi vay,(3.368.649.088),(759.895.069),,-3368649088.0,-759895069.0
Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Lãi vay,(218.578.852),(1.527.653.154),,-218578852.0,-1527653154.0
Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Khác,(603.854.906),(147.778.918),,-603854906.0,-147778918.0
Công Ty TNHH Thương Tín - CJ Cầu Tre,Công Ty TNHH Thương Tín - CJ Cầu Tre,Công Ty TNHH Thương Tín - CJ Cầu Tre,Thu hộ,(539.000.000),(539.000.000),,-539000000.0,-539000000.0
Công Ty TNHH Thương Tín - CJ Cầu Tre,Công Ty TNHH Thương Tín - CJ Cầu Tre,Công Ty TNHH Thương Tín - CJ Cầu Tre,Thu hộ,(539.000.000),(539.000.000),,-539000000.0,-539000000.0
Công ty TNHH MTV TTC Land RetailManagement,Công ty TNHH MTV TTC Land RetailManagement,Công ty TNHH MTV TTC Land RetailManagement,Lãi vay,-,(228.999.040),,,-228999040.0
Công ty TNHH MTV TTC Land RetailManagement,Công ty TNHH MTV TTC Land RetailManagement,Công ty TNHH MTV TTC Land RetailManagement,Khác,(933.500.700),-,,-933500700.0,
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Khác,(134.824.803),(50.000.000),,-134824803.0,-50000000.0
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Khác,(134.824.803),(50.000.000),,-134824803.0,-50000000.0
Công ty Cổ phần Đầu tư Hạ tầng Cụm Côngnghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Côngnghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Côngnghiệp Tân Hội,Lãi vay,(212.439.450),-,,-212439450.0,
Công ty Cổ phần Đầu tư Hạ tầng Cụm Côngnghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Côngnghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Côngnghiệp Tân Hội,Lãi vay,(212.439.450),-,,-212439450.0,
Công ty Cổ phần Đầu tư Kinh doanh Bất động sảnHùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sảnHùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sảnHùng Anh Năm,Thu hộ,-,(5.213.410.783),,,-5213410783.0
Công ty Cổ phần Đầu tư Kinh doanh Bất động sảnHùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sảnHùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sảnHùng Anh Năm,Thu hộ,-,(5.213.410.783),,,-5213410783.0
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Lãi vay,-,(689.582.465),,,-689582465.0
Công ty Cổ phần Công nghiệp phụ trợ S&DCộng,Công ty Cổ phần Công nghiệp phụ trợ S&DCộng,Công ty Cổ phần Công nghiệp phụ trợ S&DCộng,Đặt cọc,(4.921.579.000),-,,-4921579000.0,
Công ty Cổ phần Công nghiệp phụ trợ S&DCộng,Công ty Cổ phần Công nghiệp phụ trợ S&DCộng,Công ty Cổ phần Công nghiệp phụ trợ S&DCộng,Đặt cọc,(261.337.262.514),(238.664.457.100),,-261337262514.0,-238664457100.0
Các khoản vay và nợ,Các khoản vay và nợ,Các khoản vay và nợ,,31/12/2024,01/01/2024,,,
Công ty TNHH MTV TTC Land RetailManagement,Các khoản vay và nợ > Công ty TNHH MTV TTC Land RetailManagement,Công ty TNHH MTV TTC Land RetailManagement,Vay,-,(425.000.000),,,-425000000.0
Công ty TNHH MTV TTC Land RetailManagement,Các khoản vay và nợ > Công ty TNHH MTV TTC Land RetailManagement,Công ty TNHH MTV TTC Land RetailManagement,Vay,-,(425.000.000),,,-425000000.0
Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Các khoản vay và nợ > Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sảnSài Gòn Thương Tín,Vay,-,(8.500.000.000),,,-8500000000.0
