row_label_raw,row_label_full,Các khoản đầu tư tài chính (tiếp theo),Các khoản đầu tư tài chính (tiếp theo)_1,Các khoản đầu tư tài chính (tiếp theo)_2,Các khoản đầu tư tài chính (tiếp theo)_3,Các khoản đầu tư tài chính (tiếp theo)_4,Các khoản đầu tư tài chính (tiếp theo)_5,Các khoản đầu tư tài chính (tiếp theo)_6,Các khoản đầu tư tài chính (tiếp theo)_7,Các khoản đầu tư tài chính (tiếp theo)_8,Các khoản đầu tư tài chính (tiếp theo)_9,Các khoản đầu tư tài chính (tiếp theo)_10,numeric__Các khoản đầu tư tài chính (tiếp theo)_1,numeric__Các khoản đầu tư tài chính (tiếp theo)_2,numeric__Các khoản đầu tư tài chính (tiếp theo)_3,numeric__Các khoản đầu tư tài chính (tiếp theo)_4,numeric__Các khoản đầu tư tài chính (tiếp theo)_5,numeric__Các khoản đầu tư tài chính (tiếp theo)_6,numeric__Các khoản đầu tư tài chính (tiếp theo)_7,numeric__Các khoản đầu tư tài chính (tiếp theo)_8,numeric__Các khoản đầu tư tài chính (tiếp theo)_9,numeric__Các khoản đầu tư tài chính (tiếp theo)_10
,,,,,,31/12/2024,31/12/2024,31/12/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,,,,,,,,,,
,,,Hoạt động chính,Tỉnh trạng,Tỷ lệ sở hữu (%),Tỷ lệ biểu quyết (%),Giá gốc (VND),Dự phòng (VND),Tỷ lệ sở hữu (%),Tỷ lệ biểu quyết (%),Giá gốc (VND),Dự phòng (VND),,,,,,,,,,
c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,c.2 Đầu tư vào công ty liên kết,,,,,,,,,,
+ Công ty Cổ phần Đầu tư SVG (2),c.2 Đầu tư vào công ty liên kết > + Công ty Cổ phần Đầu tư SVG (2),+ Công ty Cổ phần Đầu tư SVG (2),Sản xuất và xây dựng,Đã thoái hết vốn,-,-,-,-,"50,00","49,89",1.000.000.000,(811.000.642),,,,,,,50.0,49.89,1000000000.0,-811000642.0
Cộng,c.2 Đầu tư vào công ty liên kết > Cộng,Cộng,,,,,-,-,,,1.000.000.000,(811.000.642),,,,,,,,,1000000000.0,-811000642.0
c.3 Đầu tư vào đơn vị khác,c.3 Đầu tư vào đơn vị khác,c.3 Đầu tư vào đơn vị khác,,,,,31/12/2024,31/12/2024,,,01/01/2024,01/01/2024,,,,,,,,,,
,,,,,,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,,,,,,,,,
+ Công ty Cổ phần Thương mại và Xây dựng Phước Tân (3),c.3 Đầu tư vào đơn vị khác > + Công ty Cổ phần Thương mại và Xây dựng Phước Tân (3),+ Công ty Cổ phần Thương mại và Xây dựng Phước Tân (3),,Đang hoạt động,,"11,33",177.333.985.000,-,,"19,88",311.215.800.000,-,,,,11.33,177333985000.0,,,19.88,311215800000.0,
+ Công ty Cổ phần May Tiến Phát (4),c.3 Đầu tư vào đơn vị khác > + Công ty Cổ phần May Tiến Phát (4),+ Công ty Cổ phần May Tiến Phát (4),,Đã thoái hết vốn,,-,-,-,,"4,00",18.230.998.907,(2.088.810.263),,,,,,,,4.0,18230998907.0,-2088810263.0
+ Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,c.3 Đầu tư vào đơn vị khác > + Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,+ Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,,Đang hoạt động,,"0,62",14.951.584,(14.951.584),,"0,62",14.951.584,-,,,,0.62,14951584.0,-14951584.0,,0.62,14951584.0,
+ Công ty Cổ phần Khu công nghiệp Thành Thành Công (5),c.3 Đầu tư vào đơn vị khác > + Công ty Cổ phần Khu công nghiệp Thành Thành Công (5),+ Công ty Cổ phần Khu công nghiệp Thành Thành Công (5),,Đã thoái hết vốn,,-,-,-,,"3,69",123.186.700.000,-,,,,,,,,3.69,123186700000.0,
+ Công ty Cổ phần Toàn Hải Văn (6),c.3 Đầu tư vào đơn vị khác > + Công ty Cổ phần Toàn Hải Văn (6),+ Công ty Cổ phần Toàn Hải Văn (6),,Đang hoạt động,,"10,05",678.606.600.000,-,,-,-,-,,,,10.05,678606600000.0,,,,,
Cộng,c.3 Đầu tư vào đơn vị khác > Cộng,Cộng,,,,,855.955.536.584,(14.951.584),,,452.648.450.491,(2.088.810.263),,,,,855955536584.0,-14951584.0,,,452648450491.0,-2088810263.0
