row_label_raw,row_label_full,Phải trả người bán,col_1,31/12/2024,01/01/2024,numeric__col_1,numeric__31/12/2024,numeric__01/01/2024
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Nhận chuyển nhượng vốn,(77.342.043.097),-,,-77342043097.0,
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Mua nhà phố thương mại,(42.965.511.992),(34.338.118.200),,-42965511992.0,-34338118200.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Mua dịch vụ,(24.315.990.830),(26.661.090.430),,-24315990830.0,-26661090430.0
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Mua hàng hóa và dịch vụ,(4.172.460.621),(4.172.460.621),,-4172460621.0,-4172460621.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Mua hàng hóa và dịch vụ,(2.461.930.143),(3.036.742.542),,-2461930143.0,-3036742542.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Mua hàng hóa và dịch vụ,(1.043.154.695),(2.844.598.695),,-1043154695.0,-2844598695.0
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Mua hàng hóa và dịch vụ,-,(3.864.309.510),,,-3864309510.0
Công ty Cổ Phần Du Lịch Thành Thành Công,Công ty Cổ Phần Du Lịch Thành Thành Công,Công ty Cổ Phần Du Lịch Thành Thành Công,Mua hàng hóa và dịch vụ,(416.655.000),-,,-416655000.0,
