row_label_raw,row_label_full,Phải thu về cho vay,Phải thu về cho vay_1,31/12/2024,01/01/2024,numeric__Phải thu về cho vay_1,numeric__31/12/2024,numeric__01/01/2024
Công ty Cổ Phần May Tiến Phát,Công ty Cổ Phần May Tiến Phát,Công ty Cổ Phần May Tiến Phát,Cho vay,612.802.712.000,65.554.000.000,,612802712000.0,65554000000.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Cho vay,135.217.000.000,-,,135217000000.0,
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Cho vay,-,5.612.000.000,,,5612000000.0
Cộng,Cộng,Cộng,,748.019.712.000,71.166.000.000,,748019712000.0,71166000000.0
Phải thu khác,Phải thu khác,Phải thu khác,,31/12/2024,01/01/2024,,,
Công ty Cổ phần Toàn Hải Vân,Phải thu khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Góp vốn hợp tác kinh doanh,1.065.000.000.000,353.700.000.000,,1065000000000.0,353700000000.0
Công ty Cổ phần Toàn Hải Vân,Phải thu khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Lãi cho vay,-,87.003.731.823,,,87003731823.0
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Lãi cho vay,19.917.397.866,234.376.462.922,,19917397866.0,234376462922.0
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Khác,933.500.700,-,,933500700.0,
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Phải thu khác > Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Góp vốn hợp tác kinh doanh,180.000.000.000,180.000.000.000,,180000000000.0,180000000000.0
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Phải thu khác > Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Lãi cho vay,-,26.696.572.355,,,26696572355.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Phải thu khác > Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Lợi nhuận được chia,-,67.007.268.064,,,67007268064.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Phải thu khác > Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Góp vốn hợp tác kinh doanh,27.584.000.000,-,,27584000000.0,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Phải thu khác > Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa Óc Sài Gòn Thương Tín,Khác,2.508.980.670,-,,2508980670.0,
Công ty Cổ phần Thương Tín Tàu Cuốc,Phải thu khác > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Góp vốn hợp tác kinh doanh,2.819.548.800,2.819.548.800,,2819548800.0,2819548800.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Phải thu khác > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Lãi cho vay,4.890.412.684,-,,4890412684.0,
Công ty Cổ phần Thương Tín Tàu Cuốc,Phải thu khác > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Lợi nhuận được chia,1.533.619.640,50.994.618.315,,1533619640.0,50994618315.0
Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Phải thu khác > Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Ký quỹ,154.723.527.011,-,,154723527011.0,
Công ty Cổ phần Khai Thác Và Quản Lý KCN Đặng Huỳnh,Phải thu khác > Công ty Cổ phần Khai Thác Và Quản Lý KCN Đặng Huỳnh,Công ty Cổ phần Khai Thác Và Quản Lý KCN Đặng Huỳnh,Ký quỹ,1.868.933.000,-,,1868933000.0,
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Phải thu khác > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Chi hộ,1.912.192.444,3.504.403.172,,1912192444.0,3504403172.0
Công ty Cổ phần Mai Lan,Phải thu khác > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Cổ tức được chia,-,359.361.500,,,359361500.0
Công ty Cổ phần Thành Thành Nam,Phải thu khác > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Lãi cho vay,-,199.219.479,,,199219479.0
Công ty Cổ phần Đầu tư SVG,Phải thu khác > Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Khác,-,20.000.000,,,20000000.0
Cộng,Phải thu khác > Cộng,Cộng,,1.463.692.112.815,1.006.681.186.430,,1463692112815.0,1006681186430.0
