row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_1,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_2,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_3,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_4,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_5,Đơn vị tính: Đồng Việt Nam,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_1,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_2,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_3,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_4,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024_5,numeric__Đơn vị tính: Đồng Việt Nam
21. Vay và nợ thuê tài chính (tiếp theo),21. Vay và nợ thuê tài chính (tiếp theo),21. Vay và nợ thuê tài chính (tiếp theo),21. Vay và nợ thuê tài chính (tiếp theo),21. Vay và nợ thuê tài chính (tiếp theo),21. Vay và nợ thuê tài chính (tiếp theo),21. Vay và nợ thuê tài chính (tiếp theo),21. Vay và nợ thuê tài chính (tiếp theo),21. Vay và nợ thuê tài chính (tiếp theo),,,,,,
(5) Thuyết minh chi tiết trái phiếu,(5) Thuyết minh chi tiết trái phiếu,(5) Thuyết minh chi tiết trái phiếu,(5) Thuyết minh chi tiết trái phiếu,(5) Thuyết minh chi tiết trái phiếu,(5) Thuyết minh chi tiết trái phiếu,(5) Thuyết minh chi tiết trái phiếu,(5) Thuyết minh chi tiết trái phiếu,(5) Thuyết minh chi tiết trái phiếu,,,,,,
Đơn vị bảo lãnh/tư vấn phát hành,Đơn vị bảo lãnh/tư vấn phát hành,Đơn vị bảo lãnh/tư vấn phát hành,Ngày phát hành,Thời gian thanh toán,Lãi suất (%/năm),Số dư trái phiếu (VND),Mục đích phát hành,Tài sản đảm bảo,,,,,,
Ngân hàng TMCP Phương Đông,Đơn vị bảo lãnh/tư vấn phát hành > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,30/12/2024,60 tháng kể từ ngày phát hành,"8,5%",850.000.000.000,"Đầu tư một phần Dự án Khu phức hợp Vịnh Đầm là Khu Resort nghi dưỡng A4-1 và Đất phức hợp dịch vụ du lịch - lưu trú B1-9 thuộc Dự án Khu phức hợp Vịnh Đầm tại địa điểm xã Dương Tơ và phường An Thới, thành phố Phú Quốc, tỉnh Kiên Giang do Công ty Cổ phần Toàn Hải Vân là Chủ Đầu tư.","Quyền sử dụng đất thuộc dự án Khu phức hợp Vịnh Đầm, xã Dương Tơ, phường An Thới, thành phố Phú Quốc, tỉnh Kiên Giang thuộc sở hữu của Công ty Toàn Hải Vân (bên liên quan)",,,0.085,850000000000.0,,
